episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,5,-0.0007734914613665159,0.010076621145225274,-3.0,0.0,0.0,-0.005,0.46226929272351097,-0.0038674573068325797,0.050383105726126365,-15.0,0.0,0.0,-0.025,2.311346463617555,1,False,True,False,1764700459.172196
2,14,-0.0011888005684888784,0.014607418695338865,-1.0714285714285714,0.0,0.0,-0.004999999999999999,0.1079671556480604,-0.0166432079588443,0.2045038617347441,-15.0,0.0,0.0,-0.06999999999999999,1.5115401790728458,1,False,True,False,1764700474.8273365
3,12,-0.0015318143498804226,0.00982277074493402,-1.25,0.0,0.0,-0.004999999999999999,0.14432194856404776,-0.01838177219856507,0.11787324893920825,-15.0,0.0,0.0,-0.05999999999999999,1.731863382768573,1,False,True,False,1764700488.523858
4,8,-0.0025504972357279637,0.006769557631995618,-1.875,0.0,0.0,-0.005,0.22695756510218945,-0.02040397788582371,0.054156461055964944,-15.0,0.0,0.0,-0.04,1.8156605208175156,1,False,True,False,1764700529.8352594
5,43,-0.004521803313990921,-0.00198272513319472,0.0,0.0,-0.046511627906976744,-0.005000000000000003,0.2245704571726135,-0.1944375425016096,-0.08525718072737296,0.0,0.0,-2.0,-0.2150000000000001,9.65652965842238,0,False,False,True,1764700560.259509
6,18,-0.0025916888635261846,0.006901753513782614,-0.8333333333333334,0.0,0.0,-0.005000000000000001,0.34308813721575376,-0.04665039954347132,0.12423156324808704,-15.0,0.0,0.0,-0.09000000000000001,6.175586469883568,1,False,True,False,1764700574.7954748
7,4,-0.0009243853414315287,0.008897355012438907,-3.75,0.0,0.0,-0.005,0.6125245677099912,-0.0036975413657261147,0.03558942004975563,-15.0,0.0,0.0,-0.02,2.450098270839965,1,False,True,False,1764700590.0888278
8,8,-0.002382293519395144,0.008217002469391277,-1.875,0.0,0.0,-0.005,0.48127853266270443,-0.01905834815516115,0.06573601975513022,-15.0,0.0,0.0,-0.04,3.8502282613016354,1,False,True,False,1764700609.0033758
9,22,-0.001972602142643519,0.01133703455632128,0.0,0.0,-0.09090909090909091,-0.005000000000000001,0.025709250680583495,-0.043397247138157416,0.24941476023906817,0.0,0.0,-2.0,-0.11000000000000003,0.5656035149728369,0,False,False,True,1764700662.1966813
10,10,-0.0019531614788371237,0.21019593416653565,0.0,0.0,0.0,-0.004999999999999999,0.0,-0.01953161478837124,2.1019593416653564,0.0,0.0,0.0,-0.049999999999999996,0.0,0,True,False,False,1764700675.9004784
