episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,18,-0.12240733587264573,0.006944717205314899,-0.1111111111111111,-2.203332045707623,0.1250049096956682,-2.0
2,69,-0.15464124773099572,0.001321724522839209,0.0,-10.670246093438704,0.09119899207590543,0.0
3,44,-0.16930951197283853,-0.0015802464102744127,-0.2727272727272727,-7.449618526804895,-0.06953084205207416,-12.0
4,52,-0.21044315312731607,-0.008224890718913472,0.0,-10.943043962620436,-0.42769431738350056,0.0
5,15,-0.11642483068190167,0.010663098804317754,-0.06666666666666667,-1.746372460228525,0.1599464820647663,-1.0
6,18,-0.10574581431800147,0.011987896632658673,0.0,-1.9034246577240264,0.21578213938785612,0.0
7,23,-0.16860936943710828,-0.0011900682178897818,0.0,-3.8780154970534904,-0.02737156901146498,0.0
8,18,-0.0859052421487036,0.014152388863790305,0.0,-1.5462943586766649,0.2547429995482255,0.0
9,56,-0.13265771615102356,0.0048708232932208025,0.0,-7.428832104457319,0.2727661044203649,0.0
10,23,-0.21467004849459825,-0.009960020373575754,-0.08695652173913043,-4.93741111537576,-0.22908046859224235,-2.0
