episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,16,-0.14697101472344018,0.0034186155625066106,0.0,-2.351536235575043,0.05469784900010577,0.0
2,17,-0.06944708986623513,0.017269763979776614,0.0,-1.1806005277259972,0.2935859876562025,0.0
3,45,-0.13466623929418983,0.004162236996122767,-0.022222222222222223,-6.0599807682385425,0.18730066482552454,-1.0
4,11,-0.1425543909623752,0.003996953778783858,0.0,-1.5680983005861273,0.04396649156662244,0.0
5,56,-0.20648449535931285,-0.007081992454099397,-0.03571428571428571,-11.56313174012152,-0.3965915774295662,-2.0
6,11,-0.12111285846257097,0.009298706612184753,0.0,-1.3322414430882807,0.10228577273403228,0.0
7,14,-0.14730461250205734,0.002143358683326237,0.0,-2.0622645750288027,0.030007021566567316,0.0
8,35,-0.04821538414019322,0.017322565233515715,-0.14285714285714285,-1.6875384449067625,0.60628978317305,-5.0
9,3,-0.27958717928651206,-0.011467376309209609,0.0,-0.8387615378595361,-0.034402128927628825,0.0
10,10,-0.1883538399031947,-0.004701755537148333,0.0,-1.8835383990319472,-0.04701755537148333,0.0
11,24,-0.11660822980131606,0.008184772208546954,0.0,-2.7985975152315854,0.1964345330051269,0.0
