episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,51,-0.13643898118544825,0.0,0.0,-6.95838804045786,0.0,0.0,0,1761055928.2735906
2,18,-0.11492803461152135,0.0,-0.1111111111111111,-2.0687046230073842,0.0,-2.0,2,1761055928.5974889
3,4,-0.1349731064222767,0.0,0.0,-0.5398924256891068,0.0,0.0,0,1761055928.9177423
4,4,-0.05800278722330367,0.0,0.0,-0.23201114889321467,0.0,0.0,0,1761055930.021199
5,6,-0.09171175867035002,0.0,0.0,-0.5502705520221001,0.0,0.0,0,1761055930.5241935
6,20,-0.18519401251405482,0.0,0.0,-3.7038802502810966,0.0,0.0,0,1761055966.3681371
7,22,-0.13597836748945794,0.0,0.0,-2.9915240847680744,0.0,0.0,0,1761055967.2553587
8,6,-0.13754597380066358,0.0,0.0,-0.8252758428039815,0.0,0.0,0,1761055967.4262807
9,3,-0.14395229577794436,0.0,0.0,-0.4318568873338331,0.0,0.0,0,1761055967.7055893
10,24,-0.08227736773336228,0.0,0.0,-1.9746568256006947,0.0,0.0,0,1761056003.080002
11,25,-0.07064572092210293,0.0,-0.32,-1.7661430230525732,0.0,-8.0,8,1761056003.623736
12,15,-0.056496541381323886,0.06666666666666667,-0.06666666666666667,-0.8474481207198583,1.0,-1.0,1,1761056004.2816525
13,8,-0.14012386330503293,0.0,0.0,-1.1209909064402634,0.0,0.0,0,1761056004.7101705
14,6,-0.07722377580204588,0.0,0.0,-0.4633426548122753,0.0,0.0,0,1761056041.4769077
15,23,-0.0753058285119915,0.0,-0.13043478260869565,-1.7320340557758045,0.0,-3.0,3,1761056042.192703
16,14,-0.18324686822740524,0.0,-0.14285714285714285,-2.565456155183673,0.0,-2.0,2,1761056043.33922
17,24,-0.16169455748166164,0.0,-0.20833333333333334,-3.8806693795598797,0.0,-5.0,5,1761056044.2770908
18,19,-0.06540985093872134,0.0,0.0,-1.2427871678357054,0.0,0.0,0,1761056044.6954954
