episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,17,-0.039798910241330414,-0.009667281963521996,0.0,-0.676581474102617,-0.16434379337987393,0.0,0,1761132480.5825396
2,3,-0.02311149069702278,0.03065134303016341,0.0,-0.06933447209106834,0.09195402909049023,0.0,0,1761132480.7939546
3,5,-0.02697025624497685,0.016337146124106257,0.0,-0.13485128122488424,0.08168573062053128,0.0,0,1761132481.920697
4,50,-0.035929125544509645,-0.006659220041556459,-0.12,-1.7964562772254824,-0.332961002077823,-6.0,1,1761132483.6102035
5,46,-0.03105577644408208,0.0012305261890792087,-0.13043478260869565,-1.4285657164277756,0.0566042046976436,-6.0,1,1761132484.3213747
6,13,-0.028796820310515073,0.008803384104505763,0.0,-0.37435866403669593,0.11444399335857491,0.0,0,1761132484.625053
7,15,-0.02672590120370384,0.011225307804694041,0.0,-0.4008885180555576,0.1683796170704106,0.0,0,1761132485.2598715
8,5,-0.026379670732845372,0.016929289387562375,-3.6,-0.13189835366422686,0.08464644693781187,-18.0,3,1761132485.5577636
9,5,-0.0346600947522542,0.0025634325772647014,0.0,-0.173300473761271,0.012817162886323508,0.0,0,1761132485.946188
10,19,-0.03245967643817775,-0.00019910420174129584,0.0,-0.6167338523253773,-0.003782979833084621,0.0,0,1761132486.6972754
11,20,-0.04269176145897774,-0.01671851128928871,0.0,-0.8538352291795548,-0.3343702257857742,0.0,0,1761132487.2701168
12,10,-0.01873122745470525,0.02541560095730159,0.0,-0.1873122745470525,0.2541560095730159,0.0,0,1761132487.6040437
13,19,-0.016299972504771415,0.02903868814690283,0.0,-0.30969947759065686,0.5517350747911538,0.0,0,1761132488.8743403
14,43,-0.039456652735300975,-0.007712114173139157,0.0,-1.696636067617942,-0.33162090944498374,0.0,0,1761132489.5138576
15,11,-0.018438739974619315,0.028644634010668725,0.0,-0.20282613972081248,0.315090974117356,0.0,0,1761132489.6998634
16,20,-0.03913378799265359,-0.01095081475881537,0.0,-0.7826757598530718,-0.21901629517630739,0.0,0,1761132490.3756318
17,24,-0.023628899882493407,0.015354590305052302,0.0,-0.5670935971798418,0.36851016732125524,0.0,0,1761132490.863578
18,19,-0.04656091781142431,-0.02543753941351695,0.0,-0.8846574384170619,-0.48331324885682203,0.0,0,1761132491.6105924
19,19,-0.015257873737424788,0.033739952840370686,0.0,-0.289899601011071,0.641059103967043,0.0,0,1761132492.1864622
20,12,-0.043965736612290134,-0.018702917855117483,0.0,-0.5275888393474816,-0.2244350142614098,0.0,0,1761132544.843173
21,13,-0.03862212721272861,-0.010542967985086082,0.0,-0.5020876537654719,-0.13705858380611907,0.0,0,1761132545.6239078
22,13,-0.026830129233472506,0.01478636394666057,-0.9230769230769231,-0.3487916800351426,0.1922227313065874,-12.0,2,1761132547.0114841
23,65,-0.03160335187052097,0.0048215074568236085,-0.09230769230769231,-2.054217871583863,0.3133979846935345,-6.0,1,1761132548.4256814
24,11,-0.039873968735999334,-0.012051609193851065,0.0,-0.4386136560959927,-0.13256770113236171,0.0,0,1761132548.688792
25,17,-0.017268221005521237,0.027398440584060872,0.0,-0.293559757093861,0.46577348992903483,0.0,0,1761132549.7377622
26,5,-0.0396196008633089,-0.00854260208443316,0.0,-0.1980980043165445,-0.0427130104221658,0.0,0,1761132550.241992
27,9,-0.038008196810529624,-0.006428566626607093,0.0,-0.3420737712947666,-0.05785709963946384,0.0,0,1761132551.4576561
28,4,-0.03462417153760796,0.00361850516006193,-1.5,-0.13849668615043184,0.01447402064024772,-6.0,1,1761132552.7935364
29,25,-0.03181941717642958,0.004269702390752084,0.0,-0.7954854294107396,0.10674255976880209,0.0,0,1761132554.9898067
30,32,-0.029738863779889872,0.004731286770682155,-0.1875,-0.9516436409564759,0.15140117666182895,-6.0,1,1761132555.6681206
31,9,-0.011533476553926824,0.04003547074454429,0.0,-0.10380128898534141,0.3603192367008986,0.0,0,1761132556.0718899
32,16,-0.023269540554901637,0.02044989041179106,0.0,-0.3723126488784262,0.327198246588657,0.0,0,1761132557.2767646
33,15,-0.04424440569318108,-0.021241209021530295,-0.8,-0.6636660853977162,-0.3186181353229544,-12.0,2,1761132557.82829
34,12,-0.0264746741370233,0.012743267357625166,0.0,-0.3176960896442796,0.152919208291502,0.0,0,1761132558.304761
35,30,-0.03204188961681094,0.001512376489165664,0.0,-0.9612566885043282,0.04537129467496992,0.0,0,1761132611.411061
36,6,-0.03646283888420672,-0.004509688779339808,0.0,-0.21877703330524031,-0.02705813267603885,0.0,0,1761132611.5436985
37,29,-0.038421708866759115,-0.00630164575602568,0.0,-1.1142295571360143,-0.18274772692474472,0.0,0,1761132612.404804
