episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
19,13,-0.005126041547699739,0.1626350766397816,-0.23076923076923078,-0.00318751889752492,-0.06663854012009661,2.1142559963171608,-3.0,-0.04143774566782396,1,1761211092.039475
20,15,-0.005442770874757015,0.15333246598075068,0.0,-0.0071830071519638225,-0.08164156312135522,2.29998698971126,0.0,-0.10774510727945734,0,1761211092.1287453
1,21,-0.005038676958354316,0.13543124236596396,0.0,0.0,-0.10581221612544063,2.8440560896852434,0.0,0.0,0,1761211784.4922264
2,12,-0.0025297627148016745,0.17525051971257766,0.0,0.0,-0.030357152577620092,2.103006236550932,0.0,0.0,0,1761211784.5802681
3,16,-0.004563231213957081,0.1533287580542212,0.0,0.0,-0.0730116994233133,2.453260128867539,0.0,0.0,0,1761211784.7145996
4,12,-0.001548578429329918,0.17510684471976742,0.0,0.0,-0.018582941151959017,2.101282136637209,0.0,0.0,0,1761211784.8226554
5,16,-0.0013958270877323002,0.15559519629414292,0.0,0.0,-0.022333233403716804,2.4895231407062868,0.0,0.0,0,1761211784.950645
6,22,-0.004515360852757232,0.1355825735405305,0.0,-0.04491658593107963,-0.09933793876065912,2.982816617891671,0.0,-0.9881648904837519,0,1761211785.0981596
7,21,-0.004425615742228289,0.1403066796147115,-0.14285714285714285,-0.001932090053199677,-0.09293793058679407,2.9464402719089415,-3.0,-0.04057389111719322,1,1761211785.2148738
8,9,-0.008958191529999963,0.18748927673789753,0.0,-0.03880580849525503,-0.08062372376999967,1.6874034906410778,0.0,-0.3492522764572953,0,1761211785.2726145
9,8,-0.0024975741811035096,0.2143468722487139,0.0,0.0,-0.019980593448828077,1.7147749779897112,0.0,0.0,0,1761211785.3958411
10,13,-0.002137037889964136,0.16923684832469868,0.0,0.0,-0.027781492569533765,2.200079028221083,0.0,0.0,0,1761211785.5268548
11,19,-0.0020786636623972444,0.1454577602445082,0.0,0.0,-0.039494609585547645,2.763697444645656,0.0,0.0,0,1761211785.6880963
12,1,-0.0017832554670660584,1.0,0.0,0.0,-0.0017832554670660584,1.0,0.0,0.0,0,1761211785.726389
13,10,-0.0011767142428097614,0.19120490277073227,0.0,0.0,-0.011767142428097614,1.9120490277073228,0.0,0.0,0,1761211785.9081402
14,17,-0.0030454777773675896,0.14919198290943841,0.0,0.0,-0.051773122215249025,2.536263709460453,0.0,0.0,0,1761211786.0442636
15,4,-0.003188569833644353,0.331657328776113,0.0,0.0,-0.012754279334577411,1.326629315104452,0.0,0.0,0,1761211786.0808907
16,15,-0.0025488010195427635,0.15773723067856665,0.0,0.0,-0.03823201529314145,2.3660584601785,0.0,0.0,0,1761211786.2697878
17,19,-0.0012232586519683485,0.14656734339356056,0.0,0.0,-0.023241914387398623,2.7847795244776505,0.0,0.0,0,1761211786.4108381
18,12,-0.0034547171022602866,0.17292042503911878,0.0,0.0,-0.04145660522712344,2.0750451004694255,0.0,0.0,0,1761211786.4823875
19,17,-0.006963440466492787,0.08844680245118607,0.0,-0.009433129169175521,-0.11837848793037738,1.503595641670163,0.0,-0.16036319587598385,0,1761211786.6333845
20,17,-0.008264044398953903,0.13689989350610765,0.0,-0.0067712812821199226,-0.14048875478221634,2.3272981896038303,0.0,-0.11511178179603869,0,1761211786.7530224
1,19,-0.0060704350253522514,0.13990567324294326,-0.15789473684210525,-0.07882835384321533,-0.11533826548169278,2.658207791615922,-3.0,-1.4977387230210915,1,1761212461.8417861
2,7,-0.00344362727198193,0.23056773603818034,0.0,0.0,-0.024105390903873508,1.6139741522672624,0.0,0.0,0,1761212461.9035027
3,18,-0.0009372276531151248,0.14937525373240756,0.0,0.0,-0.016870097756072247,2.688754567183336,0.0,0.0,0,1761212462.060519
4,26,-0.010527628415469571,0.10494791845554989,-0.34615384615384615,-0.028310985289785543,-0.27371833880220886,2.728645879844297,-9.0,-0.7360856175344241,3,1761212462.21714
5,12,-0.00248443627747503,0.17469454835956824,0.0,0.0,-0.02981323532970036,2.096334580314819,0.0,0.0,0,1761212462.301272
6,20,-0.005794751751642545,0.1375500592256957,0.0,-0.023665060606427007,-0.1158950350328509,2.7510011845139135,0.0,-0.47330121212854015,0,1761212462.4316168
7,14,-0.002658736004545945,0.16374663601490094,0.0,0.0,-0.03722230406364323,2.2924529042086133,0.0,0.0,0,1761212462.5198212
8,6,-0.0029979340847173554,0.25303641787368614,0.0,0.0,-0.017987604508304132,1.5182185072421168,0.0,0.0,0,1761212462.596964
9,12,-0.01635742075337784,0.12793176786559504,-1.25,0.0,-0.19628904904053407,1.5351812143871404,-15.0,0.0,6,1761212462.7253609
10,5,-0.0015025764629655767,0.2850080293321264,0.0,0.0,-0.007512882314827884,1.425040146660632,0.0,0.0,0,1761212462.823402
11,20,-0.0013891225973118619,0.1438307475707286,0.0,0.0,-0.027782451946237238,2.876614951414572,0.0,0.0,0,1761212463.004145
12,22,-0.0017001133065310764,0.1395079504673603,0.0,0.0,-0.03740249274368368,3.069174910281927,0.0,0.0,0,1761212463.1298637
13,22,-0.014337963500009522,0.10670888455318607,-0.13636363636363635,-0.06448857487045603,-0.3154351970002095,2.3475954601700937,-3.0,-1.4187486471500328,1,1761212463.2543714
14,21,-0.003484640470365311,0.1388230391266273,0.0,0.0,-0.07317744987767154,2.915283821659173,0.0,0.0,0,1761212463.3806822
15,19,-0.0030402790895326113,0.1426121138524905,0.0,0.0,-0.05776530270111961,2.70963016319732,0.0,0.0,0,1761212463.4861248
16,29,-0.012949222291525151,0.09151769090264246,-0.10344827586206896,-0.011401923620425712,-0.37552744645422936,2.6540130361766314,-3.0,-0.33065578499234566,1,1761212463.6647527
17,10,-0.003584221784808242,0.1887900121373522,0.0,0.0,-0.03584221784808242,1.887900121373522,0.0,0.0,0,1761212463.726101
18,5,-0.005225507287001396,0.2796665475008765,0.0,-0.11336735391028463,-0.026127536435006978,1.3983327375043826,0.0,-0.5668367695514231,0,1761212463.7960432
19,5,-0.000985035086524037,0.2852297182663489,0.0,0.0,-0.004925175432620186,1.4261485913317447,0.0,0.0,0,1761212463.9320931
20,17,-0.002545618962180839,0.15195904418135364,0.0,0.0,-0.04327552235707426,2.5833037510830117,0.0,0.0,0,1761212464.070239
1,32,-0.019150714801480954,0.068694168975132,0.0,0.0,-0.6128228736473905,2.198213407204224,0.0,0.0,0,1761213142.1753907
2,19,-0.01613568700344728,0.10129359766373783,0.0,-0.013809751077847484,-0.3065780530654983,1.9245783556110188,0.0,-0.2623852704791022,0,1761213142.3239162
3,2,-0.002832964172434668,0.5677231379190446,0.0,0.0,-0.005665928344869336,1.1354462758380892,0.0,0.0,0,1761213142.353808
4,11,-0.0034742147956312156,0.17997661864037695,0.0,0.0,-0.03821636275194337,1.9797428050441463,0.0,0.0,0,1761213142.5599568
5,26,-0.01466256939529355,0.08971081270936065,-0.5769230769230769,-0.048761396358589594,-0.3812268042776323,2.332481130443377,-15.0,-1.2677963053233294,5,1761213142.8099809
6,11,-0.0062286035832881,0.09470263405179988,0.0,0.0,-0.0685146394161691,1.0417289745697986,0.0,0.0,0,1761213142.949428
7,10,-0.003796783577825694,0.19039367824747494,0.0,0.0,-0.03796783577825694,1.9039367824747493,0.0,0.0,0,1761213143.0523682
8,9,-0.007802815946875786,0.19390329443612656,0.0,-0.045900114183314605,-0.07022534352188207,1.745129649925139,0.0,-0.4131010276498314,0,1761213143.1412315
9,8,-0.005469848736870815,0.21234408377910655,0.0,0.0,-0.04375878989496652,1.6987526702328524,0.0,0.0,0,1761213143.3272488
10,18,-0.005390408036068468,0.14170990828087757,0.0,0.0,-0.09702734464923242,2.550778349055796,0.0,0.0,0,1761213143.6313162
11,22,-0.007358128488585955,0.12980163230872171,0.0,-0.0006442589945996746,-0.161878826748891,2.855635910791878,0.0,-0.014173697881192842,0,1761213143.8778534
12,16,-0.001562807924432446,0.1555638692567905,0.0,0.0,-0.025004926790919136,2.489021908108648,0.0,0.0,0,1761213143.9952276
13,19,-0.0022139301251927553,0.14582460250792775,0.0,0.0,-0.04206467237866235,2.7706674476506272,0.0,0.0,0,1761213144.1675339
14,10,-0.0043439667825851385,0.18821921579324802,-0.3,0.0,-0.04343966782585139,1.8821921579324803,-3.0,0.0,1,1761213144.259865
15,8,-0.0011184428040772701,0.21457341776824204,0.0,0.0,-0.008947542432618161,1.7165873421459363,0.0,0.0,0,1761213144.4481995
16,16,-0.007354340007446918,0.14421800137412696,0.0,-0.016909567113248654,-0.11766944011915069,2.3074880219860314,0.0,-0.27055307381197846,0,1761213144.6420255
17,9,-0.0022388710287582327,0.20069987617084736,0.0,0.0,-0.020149839258824093,1.8062988855376263,0.0,0.0,0,1761213144.7618198
18,22,-0.0075624778098877824,0.1268334507950659,0.0,-0.052878195002197044,-0.1663745118175312,2.7903359174914497,0.0,-1.163320290048335,0,1761213145.0469182
19,12,-0.0015526611737515298,0.17520609039692148,0.0,0.0,-0.018631934085018356,2.1024730847630577,0.0,0.0,0,1761213145.1907337
20,15,-0.0024587494983434417,0.15924494371455797,0.0,0.0,-0.03688124247515163,2.3886741557183697,0.0,0.0,0,1761213145.3500524
