episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,7,-0.07075233546516357,0.14285714285714285,-1.0,-0.495266348256145,1.0,-7.0,7,1761055477.3959458
2,18,-0.12848357683816247,0.0,0.0,-2.3127043830869245,0.0,0.0,0,1761055478.4851682
3,38,-0.1830250492292862,0.0,0.0,-6.9549518707128755,0.0,0.0,0,1761055479.5745056
4,70,-0.18297954228069926,0.0,0.0,-12.808567959648949,0.0,0.0,0,1761055514.5969944
