iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-121.424,106.03,0.37,0.0667
10,-133.425,123.17,0.33,0.3389
15,-163.093,117.57,0.7,0.45
20,-204.592,121.2,0.4,0.6778
25,-154.79,130.0,0.4,0.7722
30,-127.369,128.87,0.47,0.8444
35,-158.611,131.17,0.53,0.6833
40,-193.232,133.83,0.8,0.7778
45,-170.462,124.03,0.6,0.7944
50,-175.253,135.47,0.57,0.7333
55,-102.613,136.8,0.83,0.8111
60,-141.36,134.77,0.4,0.8611
