feature,index,min,max,mean,std,samples,episode_index
dist_n_2,26,-0.9096378684043884,4.638425350189209,0.3484477081392435,1.1279965525163766,769,3
cos_drift,0,-0.9999998211860657,1.0,0.0007470464459858988,0.7283370541338943,975,4
sin_drift,1,-0.9999947547912598,0.9999996423721313,0.1733745233161322,0.6636728741062853,975,4
airspeed_norm,2,-2.868767023086548,3.422144651412964,-0.3030750628841369,0.8200617046926846,975,4
risk_0,3,0.014000000432133675,0.9838612079620361,0.09078664768582734,0.16394095195750688,975,4
risk_1,4,0.014000000432133675,0.6510661840438843,0.031210258197134855,0.035387286767889624,975,4
risk_2,5,0.014000000432133675,0.07742979377508163,0.02115062903039732,0.01668170954151443,975,4
x_r_0,6,-2.0966110229492188,0.840040922164917,-0.04156251553780374,0.35565666824063175,975,4
x_r_1,7,-1.9188950061798096,1.148403286933899,0.003506654531497931,0.4290452015206548,975,4
x_r_2,8,-2.76816463470459,1.1813454627990723,-0.19147489320839034,0.6431660432919768,975,4
y_r_0,9,-1.2966091632843018,1.3395848274230957,0.02848476895095351,0.3418897628624852,975,4
y_r_1,10,-2.5224223136901855,1.0790255069732666,-0.1565315607005064,0.5716419634692258,975,4
y_r_2,11,-1.978200912475586,1.5376721620559692,-0.06262808314452953,0.5780142549105303,975,4
vx_r_0,12,-1.3999571800231934,1.2627315521240234,-0.020712089487978334,0.3292685163778594,975,4
vx_r_1,13,-1.2339680194854736,1.3999571800231934,0.02103474000882276,0.36688149151767924,975,4
vx_r_2,14,-1.29035222530365,1.29035222530365,-0.05215887645908737,0.3489074569782379,975,4
vy_r_0,15,-1.284075140953064,1.284075140953064,-0.02615199276992383,0.3342516830389736,975,4
vy_r_1,16,-1.2316724061965942,1.2602028846740723,-0.05569530567052804,0.33228978323533714,975,4
vy_r_2,17,-1.2483906745910645,1.2483906745910645,-0.004994646247285301,0.3344206265475495,975,4
cos_trk_0,18,-0.9999930262565613,0.999986469745636,-0.02826654846517318,0.6845748049927586,975,4
cos_trk_1,19,-0.9999961256980896,0.9999961256980896,0.056675670815882595,0.7250503127028641,975,4
cos_trk_2,20,-0.9999907612800598,0.9999930262565613,-0.13317213490169538,0.6962968618350633,975,4
sin_trk_0,21,-0.9999978542327881,0.9999978542327881,-0.03577275337914061,0.7282192039970211,975,4
sin_trk_1,22,-0.9999999403953552,0.9999634027481079,-0.10223280295634116,0.6794490633881268,975,4
sin_trk_2,23,-0.9998719692230225,0.9999999403953552,-0.006129039760726793,0.7059792814094349,975,4
dist_n_0,24,-0.9863130450248718,3.2180335521698,-0.24370886512887838,0.6411889779149911,975,4
dist_n_1,25,-0.9397117495536804,4.414480686187744,0.14029341898532244,0.9164996410680682,975,4
dist_n_2,26,-0.9096378684043884,4.638425350189209,0.4045463500561891,1.085717551782493,975,4
