episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,26,-0.09690958356298064,0.012849681216906108,0.0,-2.5196491726374965,0.3340917116395588,0.0
2,7,-0.10710496910124778,0.012093853453036933,0.0,-0.7497347837087345,0.08465697417125853,0.0
3,40,-0.16934474089489526,-0.0005622455179691135,-0.025,-6.7737896357958105,-0.02248982071876454,-1.0
4,21,-0.17770853095780267,-0.003334623807451486,0.0,-3.731879150113856,-0.07002709995648121,0.0
5,47,-0.15204824145315224,0.002154196528814801,0.0,-7.146267348298155,0.10124723685429565,0.0
6,36,-0.0970753798157182,0.01235686647507845,0.0,-3.4947136733658555,0.44484719310282417,0.0
7,40,-0.08063084894912033,0.015329759371011636,0.0,-3.225233957964813,0.6131903748404655,0.0
8,29,-0.18112588763254242,-0.0027425121302746117,0.0,-5.2526507413437304,-0.07953285177796374,0.0
9,63,-0.19587576023559222,-0.006728769865437715,0.0,-12.34017289484231,-0.4239125015225761,0.0
10,84,-0.12788738697179816,0.0056494959923924825,0.0,-10.742540505631045,0.4745576633609685,0.0
