episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
1,21,-0.014056183432402766,0.047619047619047616,0.0,-0.2951798520804581,1.0,0.0,1761044897.907501
2,14,-0.028834535800161647,0.0,0.0,-0.40368350120226304,0.0,0.0,1761044899.625789
3,8,-0.05804675073291006,0.0,0.0,-0.4643740058632805,0.0,0.0,1761044901.6763115
4,14,-0.008698131883076336,0.07142857142857142,0.0,-0.12177384636306869,1.0,0.0,1761044905.6628864
5,32,-0.031962538553863745,0.0,0.0,-1.0228012337236398,0.0,0.0,1761044911.3851523
6,20,-0.024053432315820928,0.0,-0.55,-0.48106864631641855,0.0,-11.0,1761044914.081023
7,15,-0.022184755062311982,0.0,0.0,-0.33277132593467973,0.0,0.0,1761044916.7470083
8,16,-0.023890259171783758,0.0625,0.0,-0.3822441467485401,1.0,0.0,1761044919.3675518
9,14,-0.024323523352847914,0.07142857142857142,0.0,-0.3405293269398708,1.0,0.0,1761044922.053113
10,18,-0.018663409359889888,0.05555555555555555,0.0,-0.335941368478018,1.0,0.0,1761044924.7920988
