episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,2,-0.0730985116766282,0.026203840303837,0.0,-0.1461970233532564,0.052407680607674,0.0,1760605301.559837,pid_7696,KL001
1,3,-0.143728858344807,0.0103823041131678,0.0,-0.431186575034421,0.0311469123395036,0.0,1760605301.574746,pid_30468,KL001
1,3,-0.0759194649736032,0.0210908490386526,0.0,-0.2277583949208098,0.063272547115958,0.0,1760605301.5802617,pid_31192,KL005
1,3,-0.1506201132936138,0.0073016801504595,0.0,-0.4518603398808414,0.0219050404513786,0.0,1760605301.581655,pid_25072,KL004
1,6,-0.2042667214686368,-0.0050681576585845,0.0,-1.2256003288118211,-0.0304089459515075,0.0,1760605301.6184232,pid_32452,KL006
1,6,-0.144835734173241,0.0040499154753486,0.0,-0.8690144050394459,0.0242994928520921,0.0,1760605301.65372,pid_34528,KL004
1,7,-0.1169116489030964,0.0089735233690637,0.0,-0.8183815423216754,0.0628146635834465,0.0,1760605301.67095,pid_9164,KL002
1,10,-0.1969510962242883,-0.0029357157632155,0.0,-1.969510962242884,-0.0293571576321557,0.0,1760605301.6761005,pid_32452,KL002
1,9,-0.0891296712438125,0.0140888609991889,0.0,-0.8021670411943126,0.1267997489927003,0.0,1760605301.6814826,pid_22724,KL003
1,11,-0.2222498827749247,-0.0107377603825787,0.0,-2.444748710524172,-0.1181153642083666,0.0,1760605301.689873,pid_32452,KL003
1,10,-0.0674022138953606,0.0184756152734149,0.0,-0.6740221389536067,0.1847561527341495,0.0,1760605301.7003615,pid_22724,KL006
1,12,-0.1419276148513697,0.0040601037517085,0.0,-1.7031313782164368,0.0487212450205029,0.0,1760605301.7022345,pid_7696,KL005
1,11,-0.2085697004621419,-0.0073325980839104,0.0,-2.2942667050835617,-0.0806585789230152,0.0,1760605301.719445,pid_7456,KL004
