iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
10,-16.307,134.97,0.87,0.1333
20,-17.642,166.87,1.33,0.2056
30,-8.885,122.97,1.1,0.4722
40,-14.732,131.2,1.03,0.2444
50,-22.294,140.77,1.17,0.0667
60,-18.381,139.17,1.43,0.1222
70,-25.698,136.27,1.2,0.0278
80,-26.108,164.3,1.23,0.0111
90,-20.715,130.53,0.97,0.0333
100,-19.226,135.8,1.03,0.0667
110,-18.682,139.7,1.53,0.2444
120,-28.227,144.2,1.17,0.0
130,-20.904,136.5,1.17,0.0667
140,-18.534,133.4,1.03,0.0944
150,-27.033,143.37,1.23,0.0389
160,-22.646,131.63,1.1,0.0167
170,-18.251,134.2,1.3,0.1056
180,-29.81,128.37,1.87,0.0222
190,-19.395,130.43,1.3,0.1111
200,-26.764,141.53,1.33,0.0556
210,-24.174,142.63,1.13,0.0278
220,-33.503,151.2,1.27,0.0167
230,-23.007,138.63,1.3,0.0778
240,-25.443,140.2,1.3,0.0611
250,-23.877,133.5,1.07,0.0222
260,-28.097,136.5,1.1,0.0167
270,-26.77,114.67,0.8,0.0056
280,-26.26,123.63,1.17,0.0278
290,-26.985,133.6,1.33,0.05
300,-27.368,133.3,1.1,0.0167
310,-30.981,129.77,1.23,0.0111
320,-27.969,135.7,0.9,0.0167
330,-28.881,128.73,1.33,0.0111
340,-33.696,124.87,1.47,0.0056
350,-25.187,128.7,0.6,0.0
360,-26.753,123.23,1.1,0.0
370,-24.968,126.0,0.47,0.0
380,-29.654,122.0,1.0,0.0056
390,-28.467,121.67,0.87,0.0056
400,-27.845,117.73,1.1,0.0056
410,-26.496,124.87,0.9,0.0111
420,-27.595,120.27,1.07,0.0056
430,-24.341,133.03,0.47,0.0056
440,-28.315,123.3,0.83,0.0
450,-27.838,138.0,0.87,0.0056
460,-28.599,144.33,0.83,0.0
470,-25.383,126.77,0.9,0.0111
480,-28.864,139.67,1.1,0.0
490,-25.799,123.83,0.83,0.0111
500,-30.469,127.83,1.43,0.0
