episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
1,4,-0.11490407408509123,0.011948701433209738,0.0,-0.45961629634036494,0.04779480573283895,0.0,1760948687.938421
2,16,-0.2124798541628225,-0.007763664811416011,0.0,-3.39967766660516,-0.12421863698265617,0.0,1760948689.4543755
3,7,-0.13541108032945184,0.0061473217855904415,-0.42857142857142855,-0.9478775623061628,0.04303125249913309,-3.0,1760948690.3359847
4,20,-0.06724369879241646,0.01781078456456937,0.0,-1.344873975848329,0.3562156912913874,0.0,1760948723.1481192
5,23,-0.15094189126664614,0.0026436570504469238,0.0,-3.471663499132861,0.06080411216027924,0.0,1760948724.135579
6,9,-0.11964577129202279,0.010001857559858116,0.0,-1.0768119416282051,0.09001671803872305,0.0,1760948751.7906141
7,9,-0.09675976336494214,0.01397009481252023,0.0,-0.8708378702844793,0.12573085331268208,0.0,1760948753.035723
8,25,-0.12446547166399004,0.006225813318024548,-0.12,-3.111636791599751,0.1556453329506137,-3.0,1760948787.8856192
9,37,-0.09376883052190847,0.013225415334910824,0.0,-3.4694467293106137,0.4893403673917005,0.0,1760948789.060509
10,41,-0.08691754531201919,0.014639634640638801,0.0,-3.5636193577927866,0.6002250202661908,0.0,1760948789.7579699
11,11,-0.08948618624423683,0.015821900459485064,0.0,-0.9843480486866052,0.17404090505433573,0.0,1760948790.2707486
12,28,-0.06329002643673819,0.018222707572960833,0.0,-1.7721207402286694,0.5102358120429034,0.0,1760948825.6554952
13,29,-0.09885261389023854,0.010687194095715813,0.0,-2.8667258028169176,0.30992862877575855,0.0,1760948826.2087593
14,43,-0.1312301863820554,0.00678002516151364,-0.20930232558139536,-5.642898014428383,0.29154108194508654,-9.0,1760948827.1626444
15,15,-0.08001181424646649,0.015801079654712297,0.0,-1.2001772136969973,0.23701619482068448,0.0,1760948827.7277942
16,39,-0.09589312025464332,0.012322721033604912,-0.23076923076923078,-3.7398316899310893,0.48058612031059156,-9.0,1760948867.2503617
17,15,-0.0720167589371556,0.017239659182407267,0.0,-1.080251384057334,0.258594887736109,0.0,1760948867.543814
18,10,-0.15849814861456654,0.003833326783996707,0.0,-1.5849814861456655,0.03833326783996707,0.0,1760948868.4309766
19,23,-0.06166747086839584,0.019319227191031633,0.0,-1.4183518299731044,0.4443422253937276,0.0,1760948913.3450367
20,20,-0.04894856799365615,0.27000215180945886,0.0,-0.978971359873123,5.400043036189177,0.0,1760948914.1045334
21,35,-0.05464369795275162,0.0180198701516032,0.0,-1.9125294283463066,0.6306954553061119,0.0,1760948915.0205357
22,25,-0.0779524855750436,0.015465389913814003,0.0,-1.94881213937609,0.38663474784535007,0.0,1760948915.5572999
23,44,-0.09650341945655416,0.012174167345142916,-0.20454545454545456,-4.246150456088383,0.5356633631862883,-9.0,1760948916.753403
24,33,-0.05292704137574352,0.020654309668306982,-0.09090909090909091,-1.746592365399536,0.6815922190541304,-3.0,1760948960.3580706
25,29,-0.07030815795230182,0.01796459975225572,0.0,-2.0389365806167525,0.5209733928154159,0.0,1760948960.904422
26,30,-0.05492322168822448,0.019544222524901744,0.0,-1.6476966506467343,0.5863266757470523,0.0,1760948961.55901
27,33,-0.05511608063364223,0.020005894773021813,0.0,-1.8188306609101934,0.6601945275097199,0.0,1760948962.168721
28,3,-0.125616610758826,0.012792212343601636,0.0,-0.37684983227647795,0.038376637030804905,0.0,1760948962.4253886
29,29,-0.0970533220930064,0.012204762685182106,0.0,-2.8145463406971856,0.35393811787028107,0.0,1760948963.4350634
30,12,-0.0659332164510697,0.016631452914392542,0.0,-0.7911985974128364,0.19957743497271052,0.0,1760949009.8320494
31,20,-0.06529026661530128,0.018336868596000505,0.0,-1.3058053323060257,0.3667373719200101,0.0,1760949010.6442056
32,30,-0.051060344918025566,0.020517340514067523,0.0,-1.531810347540767,0.6155202154220257,0.0,1760949011.8127172
33,7,-0.04617063077459582,0.023938889578496124,0.0,-0.32319441542217076,0.16757222704947286,0.0,1760949012.0278728
34,37,-0.060657382067067556,0.01919313176535976,0.0,-2.2443231364814995,0.7101458753183111,0.0,1760949059.0853927
35,1,-0.08067625733545625,0.029740192518377007,0.0,-0.08067625733545625,0.029740192518377007,0.0,1760949059.1206129
36,27,-0.05568459606469717,0.018887503372624934,0.0,-1.5034840937468235,0.5099625910608733,0.0,1760949060.2376976
