episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
1,13,-0.01108925421734557,0.041408866383372815,-1.8461538461538463,-1.0725230252710944,-0.1441603048254924,0.5383152629838466,-24.0,-13.942799328524229,4,1761140862.6323695
2,24,-0.010772443598185888,0.0983906797381817,-1.0,-0.10664143216093076,-0.2585386463564613,2.361376313716361,-24.0,-2.5593943718623384,4,1761140862.799119
3,13,-0.009076870433198712,0.15835214674703008,0.0,-0.055585130012320794,-0.11799931563158325,2.058577907711391,0.0,-0.7226066901601703,0,1761140862.8938813
4,17,-0.0027447739449621466,0.13456399853928122,0.0,-0.1507877654691521,-0.046661157064356494,2.2875879751677806,0.0,-2.563392012975586,0,1761140863.0274465
5,13,-0.0018612160401021843,0.1612766556098264,0.0,0.0,-0.024195808521328396,2.0965965229277432,0.0,0.0,0,1761140863.148398
6,1,-0.00015454386554236403,1.5,0.0,0.0,-0.00015454386554236403,1.5,0.0,0.0,0,1761140863.201297
7,20,-0.009687948092135891,0.11622824542604611,0.0,0.0,-0.19375896184271782,2.324564908520922,0.0,0.0,0,1761140863.3920043
8,6,-0.006596355207765103,0.29107257845569456,0.0,-0.4561565606018933,-0.03957813124659062,1.7464354707341674,0.0,-2.7369393636113597,0,1761140863.4683383
9,17,-0.00701430466313744,0.1328242273871471,0.0,0.0,-0.11924317927333648,2.258011865581501,0.0,0.0,0,1761140863.6375673
10,18,-0.0055771674276256945,0.1283910614616685,-0.3333333333333333,-0.05351230000764964,-0.1003890136972625,2.3110391063100333,-6.0,-0.9632214001376934,1,1761140863.7626429
11,6,-0.006742357707749921,0.2922837102144618,0.0,0.0,-0.040454146246499526,1.7537022612867708,0.0,0.0,0,1761140863.8641875
12,9,-0.006764144902046149,0.2092102806197894,0.0,0.0,-0.06087730411841534,1.8828925255781046,0.0,0.0,0,1761140863.9895575
13,11,-0.0034483820255866095,0.18173553161193703,0.0,0.0,-0.03793220228145271,1.9990908477313074,0.0,0.0,0,1761140864.0866857
14,18,-0.00917879760079817,0.12449864731204624,0.0,-0.12364798977230403,-0.16521835681436706,2.240975651616832,0.0,-2.2256638159014726,0,1761140864.2231889
15,3,-0.005018911570989148,0.5363748568791715,0.0,0.0,-0.015056734712967446,1.6091245706375146,0.0,0.0,0,1761140864.2504485
