episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,42,-0.01065987072355821,-0.011106127459611793,-8.214285714285714,0.0,-0.07142857142857142,-0.05000000000000001,0.43370327966325384,-0.44771457038944484,-0.4664573533036953,-345.0,0.0,-3.0,-2.1000000000000005,18.21553774585666,23,False,True,1764412773.575843
2,210,-0.009345313511933465,0.0012342344908124136,-1.5714285714285714,0.0,-0.014285714285714285,-0.050000000000000065,0.16036428366479671,-1.9625158375060276,0.25918924307060687,-330.0,0.0,-3.0,-10.500000000000014,33.67649956960731,22,False,True,1764412793.2037878
3,25,-0.005219742041688112,0.016891273431667044,-6.0,0.0,-0.12,-0.05000000000000002,0.6095789425509758,-0.13049355104220278,0.4222818357916761,-150.0,0.0,-3.0,-1.2500000000000004,15.239473563774395,10,False,True,1764412794.899918
4,300,-0.00981591521540618,0.00039844294082805136,0.0,0.0,0.0,-0.05000000000000026,0.030365607565127004,-2.9447745646218544,0.1195328822484154,0.0,0.0,0.0,-15.000000000000078,9.109682269538101,0,False,True,1764412836.2844028
5,187,-0.008686986701940153,0.0013647805271762902,-2.165775401069519,0.0,-0.016042780748663103,-0.04999999999999999,0.20791079294755585,-1.6244665132628084,0.25521395858196627,-405.0,0.0,-3.0,-9.349999999999998,38.879318281192944,27,False,True,1764412854.482986
6,47,-0.005498230832918616,0.023981442472605516,-3.8297872340425534,0.0,-0.06382978723404255,-0.049999999999999996,0.35495852594661836,-0.25841684914717494,1.1271277962124593,-180.0,0.0,-3.0,-2.3499999999999996,16.683050719491064,12,False,True,1764412859.8064914
7,125,-0.004839093384954502,0.024893786332953652,0.0,0.0,-0.024,-0.049999999999999885,0.0,-0.6048866731193128,3.1117232916192066,0.0,0.0,-3.0,-6.249999999999986,0.0,0,False,True,1764412889.8965394
8,102,-0.004992634674708306,0.06915354209744834,-1.1764705882352942,0.0,0.0,-0.0499999999999999,0.17942072042915067,-0.5092487368202472,7.053661293939731,-120.0,0.0,0.0,-5.09999999999999,18.300913483773368,8,True,False,1764412907.3069239
9,53,-0.0075570098333043335,0.008462729468748353,-1.6981132075471699,0.0,-0.05660377358490566,-0.049999999999999975,0.1478172491151462,-0.4005215211651297,0.4485246618436627,-90.0,0.0,-3.0,-2.6499999999999986,7.834314203102749,6,False,True,1764412918.5281367
10,128,-0.003464182026486744,0.0642157378337627,-3.515625,0.0,0.0,-0.049999999999999885,0.37271577694806274,-0.4434152993903032,8.219614442721626,-450.0,0.0,0.0,-6.399999999999985,47.70761944935203,30,True,False,1764412940.7468936
11,88,-0.0017421124636503174,0.09591554246095844,-4.6022727272727275,0.0,0.0,-0.04999999999999991,0.6567518960047888,-0.15330589680122794,8.440567736564343,-405.0,0.0,0.0,-4.399999999999992,57.79416684842141,27,True,False,1764412950.7957513
12,134,-0.0030418432228113195,0.028626776163258892,-6.156716417910448,0.0,-0.022388059701492536,-0.049999999999999885,0.635626574241418,-0.40760699185671684,3.8359880058766915,-825.0,0.0,-3.0,-6.699999999999984,85.17396094835001,55,False,True,1764412966.9128783
13,152,-0.0026134076007295155,0.05754777913477623,-2.1710526315789473,0.0,0.0,-0.04999999999999988,0.23930837042429473,-0.39723795531088635,8.747262428485987,-330.0,0.0,0.0,-7.599999999999981,36.3748723044928,22,True,False,1764412983.2540255
14,67,-0.002549754493410659,0.08868107943308699,-3.582089552238806,0.0,0.0,-0.04999999999999994,0.5083164230930176,-0.17083355105851417,5.941632322016829,-240.0,0.0,0.0,-3.349999999999996,34.05720034723218,16,True,False,1764413000.465891
15,72,-0.0031692750879338516,0.10123595516266376,-12.5,0.0,0.0,-0.04999999999999993,0.7381769020176027,-0.2281878063312373,7.288988771711791,-900.0,0.0,0.0,-3.599999999999995,53.148736945267395,60,True,False,1764413012.2392874
