iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-278.818,163.5,34.43,0.484
1000,-75.361,223.97,29.33,0.4973
1500,-104.307,275.03,32.0,0.5667
2000,-97.748,208.73,25.3,0.5227
2500,82.693,294.43,28.9,0.484
3000,217.752,299.63,17.23,0.6693
3500,83.857,266.6,25.7,0.6147
4000,182.959,250.13,18.67,0.692
4500,195.609,249.17,17.13,0.5933
5000,-261.19,161.3,30.93,0.508
5500,93.222,278.3,28.23,0.6587
6000,109.935,224.13,21.47,0.588
6500,-141.662,213.5,33.23,0.5413
7000,-89.677,204.13,27.3,0.5813
7500,-39.497,238.8,26.83,0.596
8000,-44.912,236.5,23.0,0.6533
8500,157.874,385.2,25.03,0.616
9000,30.29,255.7,18.87,0.6653
9500,76.613,260.47,17.23,0.6547
10000,141.439,301.17,19.33,0.708
10500,122.395,265.6,24.23,0.6533
11000,413.75,400.0,26.1,0.3707
11500,178.538,400.0,44.3,0.3693
12000,347.72,400.0,31.9,0.5133
12500,480.273,397.77,27.53,0.6427
13000,279.217,399.97,36.77,0.484
13500,599.874,400.0,20.43,0.4573
14000,518.431,399.3,14.83,0.1773
14500,8.101,400.0,11.6,0.3547
15000,272.273,222.37,7.43,0.7373
