episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_intrusion,terminated_waypoint,truncated,finished_at
1,6,-0.0024163860158452548,0.35565840994778974,0.0,0.0,-0.01449831609507153,2.1339504596867385,0.0,0.0,0,False,True,False,1761328004.340877
2,74,-0.006711712037718346,0.04291825949812029,0.0,0.0,-0.4966666907911576,3.1759512028609014,0.0,0.0,0,False,True,False,1761328005.0086277
3,70,-0.010900358584383365,0.01511540905416612,0.0,-0.21322090441913572,-0.7630251009068356,1.0580786337916284,0.0,-14.9254633093395,0,False,False,True,1761328005.8495908
4,64,-0.006183121915705404,0.04796748168909794,0.0,0.0,-0.39571980260514583,3.069918828102268,0.0,0.0,0,False,True,False,1761328006.5034513
5,83,-0.007486515023057712,0.039942477118238034,0.0,0.0,-0.6213807469137901,3.315225600813757,0.0,0.0,0,False,True,False,1761328007.5427234
6,63,-0.011550956761733604,0.01468055650114538,0.0,0.0,-0.7277102759892171,0.9248750595721589,0.0,0.0,0,False,False,True,1761328008.2460892
7,13,-0.00913350364466324,0.018971223796226972,0.0,0.0,-0.11873554738062213,0.24662590935095063,0.0,0.0,0,True,False,False,1761328008.7715263
8,143,-0.010467807556711216,0.027084951168370685,0.0,0.0,-1.4968964806097038,3.873148017077008,0.0,0.0,0,False,True,False,1761328009.761847
9,138,-0.015228928896365282,0.02591882914388584,0.0,-0.11591619884759399,-2.101592187698409,3.576798421856246,0.0,-15.996435440967971,0,False,True,False,1761328010.6825392
10,15,-0.005741537923083625,0.1526417458520514,0.0,0.0,-0.08612306884625437,2.289626187780771,0.0,0.0,0,False,True,False,1761328010.827162
11,68,-0.011183461234816146,0.010144391642248214,0.0,0.0,-0.7604753639674979,0.6898186316728785,0.0,0.0,0,False,False,True,1761328011.3740456
12,27,-0.014152969263959465,0.08710438619945862,0.0,0.0,-0.38213017012690553,2.351818427385383,0.0,0.0,0,False,True,False,1761328011.9201572
13,23,-0.008391064740673476,0.017404719528274316,0.0,-0.032191097608622286,-0.19299448903548994,0.4003085491503092,0.0,-0.7403952449983126,0,True,False,False,1761328012.6791914
14,114,-0.00992108151063693,0.015825419914529765,0.0,-0.11289570341179307,-1.13100329221261,1.8040978702563932,0.0,-12.87011018894441,0,False,False,True,1761328013.4007587
15,1,-0.002915262285581735,0.03431781322585348,-6.0,0.0,-0.002915262285581735,0.03431781322585348,-6.0,0.0,1,True,False,False,1761328013.4325755
16,5,-0.005272172715167385,0.026124121940279955,-1.2,-0.8537829906146193,-0.026360863575836925,0.13062060970139977,-6.0,-4.2689149530730965,1,True,False,False,1761328013.4943502
17,96,-0.008639899236042754,0.03666480824425219,0.0,0.0,-0.8294303266601044,3.51982159144821,0.0,0.0,0,False,True,False,1761328113.5082178
18,43,-0.014942613822105108,0.013191856508939158,0.0,0.0,-0.6425323943505197,0.5672498298843838,0.0,0.0,0,False,False,True,1761328113.831009
19,22,-0.010104295522535061,0.10795029138965867,0.0,0.0,-0.22229450149577135,2.374906410572491,0.0,0.0,0,False,True,True,1761328114.3345888
20,38,-0.01065139235663151,0.06767629135908688,0.0,0.0,-0.4047529095519974,2.5716990716453014,0.0,0.0,0,False,True,False,1761328115.5133688
