episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,15,-0.0020894575982178,-0.0004476124214142,0.0,0.0,-0.0313418639732684,-0.0067141863212134,0.0,0.0,0,False,True,1762531334.0888634,pid_12948,KL001
1,20,-0.0021547263967668,7.199717029643393e-06,0.0,0.0,-0.0430945279353369,0.0001439943405928,0.0,0.0,0,False,True,1762531334.2268906,pid_23388,KL005
1,25,-0.0011918805906183,0.0012499110873813,0.0,-0.0168148161071801,-0.0297970147654591,0.0312477771845345,0.0,-0.4203704026795028,0,False,True,1762531334.3508458,pid_15996,KL002
1,30,-0.003151852842545,-0.0039045278452605,0.0,0.0,-0.0945555852763513,-0.1171358353578165,0.0,0.0,0,False,True,1762531334.4849193,pid_23148,KL005
1,30,-0.001376206065493,-0.0022074769293338,0.0,0.0,-0.0412861819647929,-0.0662243078800167,0.0,0.0,0,False,True,1762531334.4849193,pid_25224,KL006
1,32,-0.0025046534240939,-0.00111863326159,0.0,0.0,-0.0801489095710051,-0.0357962643708802,0.0,0.0,0,False,True,1762531334.5321758,pid_23388,KL004
1,32,-0.0023267449628894,-0.0016936998767691,0.0,0.0,-0.0744558388124627,-0.054198396056614,0.0,0.0,0,False,True,1762531334.5371864,pid_3156,KL001
1,37,-0.0023848598126687,-0.0002145167744883,0.0,-0.0288801758936395,-0.0882398130687439,-0.0079371206560681,0.0,-1.068566508064664,0,False,True,1762531334.6887205,pid_27508,KL001
1,39,-0.0029320869933901,-0.0031208616886596,0.0,0.0,-0.1143513927422142,-0.1217136058577268,0.0,0.0,0,False,True,1762531334.7387464,pid_12948,KL006
1,41,-0.0032997355758781,-0.0033265135860805,0.0,0.0,-0.1352891586110055,-0.1363870570293033,0.0,0.0,0,False,True,1762531334.7922833,pid_27508,KL006
1,44,-0.0032753934744897,-0.0040431124102566,0.0,0.0,-0.1441173128775479,-0.1778969460512947,0.0,0.0,0,False,True,1762531334.8802893,pid_39072,KL006
1,45,-0.0016958278099436,0.0008991478390963,0.0,0.0,-0.0763122514474641,0.0404616527593352,0.0,0.0,0,False,True,1762531334.91163,pid_39072,KL001
1,46,-0.0025556590319861,-0.0015588568572066,0.0,0.0,-0.1175603154713631,-0.0717074154315079,0.0,0.0,0,False,True,1762531334.93845,pid_4276,KL002
1,46,-0.0033964924629084,-0.0025258670874054,0.0,0.0,-0.1562386532937883,-0.1161898860206497,0.0,0.0,0,False,True,1762531334.9395533,pid_23148,KL004
1,47,-0.0031845908129061,-0.0040936176652456,0.0,0.0,-0.1496757682065874,-0.1924000302665476,0.0,0.0,0,False,True,1762531334.967292,pid_23148,KL002
