iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
10,-13.001,145.43,1.47,0.1389
20,-10.373,151.87,0.93,0.0167
30,-10.613,141.57,0.97,0.1944
40,-12.264,128.93,1.27,0.0444
50,-11.919,130.17,1.3,0.0889
60,-13.403,142.0,1.27,0.0722
70,-12.769,133.33,0.83,0.0556
80,-12.901,132.8,1.83,0.1556
90,-10.765,135.3,0.83,0.0278
100,-13.707,143.87,1.03,0.0278
110,-16.932,140.07,1.53,0.0389
120,-15.085,144.8,0.93,0.0
130,-13.331,140.17,0.87,0.0
140,-14.763,131.43,1.4,0.0222
150,-12.648,128.83,0.87,0.0167
160,-11.36,124.47,0.6,0.0278
170,-12.32,178.97,0.8,0.0
180,-8.664,125.97,0.47,0.0056
190,-12.006,115.43,0.73,0.0222
200,-12.888,123.83,0.93,0.0167
210,-11.95,116.97,0.77,0.0056
220,-12.828,124.17,1.03,0.0111
230,-12.73,180.1,0.77,0.0111
240,-9.073,121.03,0.53,0.0167
250,-12.051,120.5,0.8,0.0
260,-13.892,116.1,1.23,0.0167
270,-11.998,123.13,0.83,0.0
280,-11.342,129.63,0.63,0.0056
290,-12.11,143.07,0.73,0.0056
300,-12.116,169.23,0.77,0.0056
310,-9.63,152.6,0.43,0.0056
320,-11.992,155.57,0.7,0.0111
330,-13.169,126.67,0.9,0.0056
340,-12.622,138.5,0.47,0.0
350,-16.598,158.1,1.37,0.0056
360,-14.474,132.53,1.07,0.0056
370,-13.038,133.27,0.97,0.0056
380,-12.609,130.1,0.6,0.0
390,-13.742,162.2,0.9,0.0
400,-11.099,144.33,0.57,0.0
410,-12.535,155.5,0.7,0.0056
420,-12.334,154.67,0.57,0.0
430,-12.0,131.1,0.57,0.0056
440,-8.942,135.57,0.27,0.0056
450,-12.129,145.4,0.57,0.0167
460,-9.703,135.1,0.43,0.0056
470,-10.367,126.1,0.6,0.0056
480,-13.102,139.9,0.9,0.0056
490,-13.383,133.97,1.2,0.0167
500,-13.584,133.43,0.97,0.0
