iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-63.717,143.8,1.2,0.0
100,-59.46,131.87,1.03,0.0167
150,-75.36,188.47,1.27,0.0833
200,-53.187,131.73,0.93,0.0111
250,-59.167,146.57,0.8,0.0222
300,-75.132,141.53,1.37,0.0167
350,-59.251,132.5,0.9,0.0167
400,-41.563,121.0,0.77,0.0
450,-62.784,131.53,0.97,0.0056
500,-68.101,137.47,0.9,0.0056
550,-47.76,107.07,0.77,0.0111
600,-56.259,116.57,0.93,0.0056
650,-59.503,153.8,0.63,0.0
700,-59.546,147.83,0.83,0.0056
750,-51.021,132.8,0.53,0.0056
800,-59.107,134.3,1.03,0.0
850,-49.355,127.23,0.73,0.0056
900,-62.448,128.63,1.1,0.0
950,-50.968,151.13,0.63,0.0056
1000,-33.667,110.77,0.57,0.0167
1050,-47.523,114.1,0.83,0.0
1100,-45.746,126.63,0.57,0.0
1150,-46.63,114.63,0.6,0.0
1200,-48.677,124.93,0.77,0.0056
1250,-42.066,126.97,0.67,0.0
1300,-49.341,130.77,0.97,0.0056
1350,-32.097,116.87,0.53,0.0056
1400,-35.13,112.27,0.83,0.0056
1450,-43.327,115.8,0.9,0.0
1500,-25.728,114.13,0.6,0.0111
1550,-36.581,132.8,0.5,0.0
1600,-32.371,138.87,0.6,0.0167
1650,-59.277,165.23,1.0,0.0
1700,-41.609,124.2,0.47,0.0
1750,-46.23,162.37,0.57,0.0056
1800,-39.27,174.07,0.37,0.0
1850,-31.83,113.3,0.5,0.0
1900,-31.52,140.63,0.37,0.0
1950,-31.4,125.03,0.43,0.0056
2000,-31.133,139.23,0.6,0.0056
2050,-38.696,129.97,0.57,0.0056
2100,-39.265,138.27,0.57,0.0222
2150,-40.672,193.1,0.5,0.0056
2200,-42.125,184.13,0.67,0.0
2250,-35.988,139.73,0.67,0.0
2300,-36.372,117.4,0.53,0.0
2350,-38.98,182.07,0.47,0.0056
2400,-35.168,171.57,0.27,0.0222
2450,-45.105,203.07,0.67,0.0444
2500,-19.565,188.8,0.37,0.0667
2550,-34.292,148.93,0.33,0.0
2600,-36.344,163.7,0.6,0.0
2650,-31.574,195.7,0.43,0.0056
2700,-26.632,174.2,0.3,0.0222
2750,-32.42,177.13,0.5,0.0056
2800,-30.32,215.2,0.47,0.0444
2850,-39.739,147.9,0.4,0.0167
2900,-35.646,235.5,0.37,0.0056
2950,-22.488,196.5,0.4,0.0444
3000,-55.379,150.13,0.9,0.0222
