episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,36,-0.15036779813689852,0.0,0.0,-5.4132407329283465,0.0,0.0,0,1761057743.5728803
2,9,-0.08679920453001669,0.0,0.0,-0.7811928407701502,0.0,0.0,0,1761057743.7866411
3,32,-0.11479036693785111,0.03125,0.0,-3.6732917420112354,1.0,0.0,0,1761057744.4031765
4,11,-0.16355969283782307,0.0,-0.18181818181818182,-1.7991566212160537,0.0,-2.0,2,1761057744.9490986
5,28,-0.24781999524189427,0.0,-0.17857142857142858,-6.93895986677304,0.0,-5.0,5,1761057745.7621286
6,5,-0.11141834109210676,0.0,-0.2,-0.5570917054605338,0.0,-1.0,1,1761057745.8989105
7,12,-0.14980692201542375,0.0,0.0,-1.7976830641850852,0.0,0.0,0,1761057746.4402359
8,47,-0.15362741093297008,0.0,0.0,-7.220488313849594,0.0,0.0,0,1761057784.14096
9,5,-0.08547837232962871,0.0,0.0,-0.4273918616481436,0.0,0.0,0,1761057784.2490423
10,53,-0.14651085137066241,0.0,-0.018867924528301886,-7.765075122645108,0.0,-1.0,1,1761057821.6029727
11,15,-0.17921507529213448,0.0,0.0,-2.6882261293820173,0.0,0.0,0,1761057821.873577
12,3,-0.09802054294871619,0.0,0.0,-0.29406162884614856,0.0,0.0,0,1761057822.7348762
13,13,-0.15906911249627304,0.0,-0.07692307692307693,-2.0678984624515495,0.0,-1.0,1,1761057823.4173443
14,20,-0.107771933317292,0.0,0.0,-2.15543866634584,0.0,0.0,0,1761057824.2925887
15,36,-0.0931144085859958,0.0,0.0,-3.352118709095849,0.0,0.0,0,1761057860.5874152
16,20,-0.2160982846880993,0.0,0.0,-4.321965693761986,0.0,0.0,0,1761057861.006185
17,22,-0.06541651614231779,0.0,0.0,-1.4391633551309913,0.0,0.0,0,1761057861.6364946
18,29,-0.11716265009618848,0.0,0.0,-3.397716852789466,0.0,0.0,0,1761057862.3323736
19,33,-0.20633209355043894,0.0,-0.12121212121212122,-6.808959087164485,0.0,-4.0,4,1761057862.9501052
20,22,-0.1246892016104283,0.045454545454545456,-0.045454545454545456,-2.7431624354294226,1.0,-1.0,1,1761057863.4719234
21,6,-0.0382450063432111,0.16666666666666666,0.0,-0.2294700380592666,1.0,0.0,0,1761057863.6717172
22,18,-0.04730076203307954,0.05555555555555555,0.0,-0.8514137165954317,1.0,0.0,0,1761057903.4412
23,6,-0.05306192771411386,0.16666666666666666,0.0,-0.31837156628468316,1.0,0.0,0,1761057903.800513
24,29,-0.05198372568840381,0.034482758620689655,0.0,-1.5075280449637105,1.0,0.0,0,1761057904.6577435
25,16,-0.08263676589847926,0.0,0.0,-1.3221882543756682,0.0,0.0,0,1761057905.197971
26,11,-0.04892933671474171,0.09090909090909091,-0.18181818181818182,-0.5382227038621588,1.0,-2.0,2,1761057905.6145213
27,7,-0.06062606189612655,0.0,0.0,-0.42438243327288583,0.0,0.0,0,1761057906.1368423
28,11,-0.07870467240744115,0.0,0.0,-0.8657513964818526,0.0,0.0,0,1761057950.6582217
29,14,-0.05623507402375406,0.0,0.0,-0.7872910363325568,0.0,0.0,0,1761057951.1085098
30,2,-0.14478134264645987,0.0,0.0,-0.28956268529291973,0.0,0.0,0,1761057951.3774173
31,12,-0.03710285830379801,0.08333333333333333,0.0,-0.4452342996455761,1.0,0.0,0,1761057952.02532
32,9,-0.10299048344363522,0.0,0.0,-0.926914350992717,0.0,0.0,0,1761057952.4498124
33,6,-0.13546656969071463,0.0,0.0,-0.8127994181442878,0.0,0.0,0,1761057952.7515504
34,24,-0.06416097629638665,0.0,0.0,-1.5398634311132795,0.0,0.0,0,1761057953.5328858
35,10,-0.05168000240954122,0.1,0.0,-0.5168000240954123,1.0,0.0,0,1761057953.7799861
36,15,-0.06963612452789773,0.06666666666666667,0.0,-1.044541867918466,1.0,0.0,0,1761057954.296615
37,13,-0.0893193139411633,0.07692307692307693,-0.07692307692307693,-1.161151081235123,1.0,-1.0,1,1761058000.409187
38,20,-0.062264587568231555,0.05,-0.05,-1.245291751364631,1.0,-1.0,1,1761058000.9023304
39,4,-0.13924799974911312,0.25,-0.25,-0.5569919989964525,1.0,-1.0,1,1761058001.0734563
