iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-1918.692,137.17,124.2,0.9667
1000,-2018.21,104.43,120.6,0.9967
1500,-1597.295,99.4,104.23,1.0
2000,-1952.22,108.33,125.63,0.9917
2500,-2535.649,117.3,171.2,0.9983
3000,-2850.685,112.87,175.57,0.995
3500,-1093.126,110.53,72.3,0.855
4000,-1400.438,109.83,91.87,0.715
4500,-1414.405,108.73,88.73,0.4633
5000,-1670.744,100.6,100.27,0.9367
5500,-1727.438,106.03,110.1,0.8967
6000,-1715.227,101.3,109.63,0.875
6500,-2178.19,103.33,134.03,0.7117
7000,-1850.742,101.2,116.83,0.835
7500,-1902.045,99.23,117.37,0.9667
8000,-1760.33,101.3,109.57,0.745
