feature,index,min,max,mean,std,samples,episode_index
risk_2,5,0.014000000432133675,0.10326129198074341,0.022063350244862924,0.017551625153238364,2309,3
x_r_0,6,-0.6080337166786194,1.032386064529419,0.05420278505971078,0.23663858381552527,2309,3
x_r_1,7,-0.7424250245094299,0.8263638615608215,-0.0545938100954059,0.24789426429328357,2309,3
x_r_2,8,-1.0588440895080566,0.9243055582046509,-0.06927972910356066,0.32195679775014585,2309,3
y_r_0,9,-0.7273904085159302,0.8455840349197388,-0.023574583060199876,0.19090537586094372,2309,3
y_r_1,10,-0.6784486770629883,0.9782083630561829,0.08708190235255152,0.2903078850928317,2309,3
y_r_2,11,-0.7763494849205017,0.7975286841392517,0.041144227706647746,0.2946064336344971,2309,3
vx_r_0,12,-0.9133893847465515,0.9375035762786865,0.005445939081557854,0.21435323414690072,2309,3
vx_r_1,13,-0.9375035762786865,0.8991888761520386,-0.04368924819117483,0.21738464649495914,2309,3
vx_r_2,14,-0.9361874461174011,0.8285404443740845,-0.030229889642056883,0.238606578810945,2309,3
vy_r_0,15,-0.7626944780349731,0.7621178030967712,-0.030329743262313604,0.23291019000891278,2309,3
vy_r_1,16,-0.7621178030967712,0.7491445541381836,0.02514875295560314,0.21999859368043795,2309,3
vy_r_2,17,-0.7293254733085632,0.7626944780349731,0.0025507529714798595,0.22389356655410841,2309,3
cos_trk_0,18,-1.0,0.9999927878379822,0.021378617132279884,0.6428300690198954,2309,3
cos_trk_1,19,-1.0,0.9999942779541016,-0.15299147745826006,0.6711786647705277,2309,3
cos_trk_2,20,-0.9999988675117493,0.9999986886978149,-0.08759846318225371,0.7063360913180019,2309,3
sin_trk_0,21,-0.9999998211860657,0.9999998211860657,-0.09467350141655095,0.7601174765201689,2309,3
sin_trk_1,22,-1.0,0.9999998807907104,0.05309624864732092,0.7236819115678008,2309,3
sin_trk_2,23,-0.999998927116394,0.9999970197677612,-0.018026624597393657,0.7025102748280845,2309,3
dist_n_0,24,-0.6617617607116699,0.7972695231437683,-0.3465852773489787,0.2608826908871367,2309,3
dist_n_1,25,-0.6479908227920532,0.8016576766967773,-0.23951359029894462,0.30874793719687815,2309,3
dist_n_2,26,-0.6203728318214417,1.0981955528259277,-0.18632094963147075,0.3453860537933303,2309,3
cos_drift,0,-0.9999963641166687,1.0,0.09948604098158735,0.7128702936868098,2822,4
sin_drift,1,-0.9999946355819702,0.9999999403953552,0.16873284791301676,0.6736383161135686,2822,4
airspeed_norm,2,-0.5052981376647949,1.0000131130218506,-0.03686754111929346,0.17011381079203106,2822,4
risk_0,3,0.014000000432133675,1.0,0.10869613166668791,0.18452717957827913,2822,4
risk_1,4,0.014000000432133675,0.6585144400596619,0.03498536678530086,0.03533465626937113,2822,4
risk_2,5,0.014000000432133675,0.10488560050725937,0.022018048339368292,0.017723267243741264,2822,4
x_r_0,6,-0.6080337166786194,1.032386064529419,0.05313560167514777,0.22172388180703917,2822,4
x_r_1,7,-0.7424250245094299,0.8263638615608215,-0.0410718987560615,0.23169556540253505,2822,4
x_r_2,8,-1.0588440895080566,0.9243055582046509,-0.06083828479403384,0.29592648402090077,2822,4
y_r_0,9,-0.7273904085159302,0.8455840349197388,-0.014917687925853816,0.18197234797036427,2822,4
y_r_1,10,-0.6784486770629883,0.9782083630561829,0.07673460981187066,0.2761622077681271,2822,4
y_r_2,11,-0.7763494849205017,0.7975286841392517,0.05112429134993902,0.2900685127374852,2822,4
vx_r_0,12,-0.9133893847465515,0.9375035762786865,0.007473688026045961,0.20259508638726473,2822,4
vx_r_1,13,-0.9375035762786865,0.8991888761520386,-0.040205113008655216,0.20739721814404513,2822,4
vx_r_2,14,-0.9361874461174011,0.8285404443740845,-0.02682500131083927,0.22778587074762163,2822,4
vy_r_0,15,-0.8973021507263184,0.8933552503585815,-0.03136490812577381,0.2490550678976784,2822,4
vy_r_1,16,-0.8621405363082886,0.8973021507263184,0.016890276865987708,0.23462419335270235,2822,4
vy_r_2,17,-0.8019088506698608,0.8331236243247986,0.01793851310107643,0.23514165387333286,2822,4
cos_trk_0,18,-1.0,0.9999927878379822,0.044526406820204485,0.6281943026140023,2822,4
cos_trk_1,19,-1.0,0.9999942779541016,-0.13935758034543982,0.6640287115086337,2822,4
cos_trk_2,20,-0.9999988675117493,0.9999986886978149,-0.08186076026420017,0.6957282680600336,2822,4
sin_trk_0,21,-0.9999998211860657,0.9999998211860657,-0.0890647194024356,0.7718858473721782,2822,4
sin_trk_1,22,-1.0,0.9999998807907104,0.033224826456573195,0.7340903587349225,2822,4
sin_trk_2,23,-0.999998927116394,0.9999998807907104,0.03143448390528324,0.7131792375781406,2822,4
dist_n_0,24,-0.6617617607116699,0.7972695231437683,-0.36470625197784157,0.24591034225350716,2822,4
dist_n_1,25,-0.6479908227920532,0.8016576766967773,-0.26602096078199,0.2896845111760731,2822,4
