iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-105.485,109.93,0.43,0.0667
10,-94.89,150.0,0.57,0.0611
15,-162.924,165.97,0.63,0.0722
20,-93.73,131.5,0.5,0.1111
25,-181.85,141.57,0.2,0.0889
30,-124.853,143.07,0.43,0.0611
35,-102.446,140.87,0.4,0.1333
