episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
1,17,-0.09507090090072079,0.012456805770194332,0.0,-1.6162053153122533,0.21176569809330364,0.0,1760607106.6997325
2,42,-0.2284149890384886,-0.01135629245172851,0.0,-9.59342953961652,-0.4769642829725974,0.0,1760607107.5682902
3,50,-0.1339463561591861,0.0046366039384903605,-0.02,-6.697317807959305,0.231830196924518,-1.0,1760607109.3071637
4,21,-0.12081196040717025,0.007896825878322128,0.0,-2.537051168550575,0.1658333434447647,0.0,1760607144.4329202
5,33,-0.16750734732065284,-0.0007280652574778387,0.0,-5.527742461581544,-0.024026153496768676,0.0,1760607145.477757
6,43,-0.13640029835997752,0.005176713990685839,0.0,-5.8652128294790336,0.22259870159949108,0.0,1760607146.9150152
7,85,-0.13012932905070626,0.004461764238468815,-0.011764705882352941,-11.060992969310032,0.37924996026984925,-1.0,1760607182.317934
8,9,-0.16126656834914962,0.00048647107826048515,0.0,-1.4513991151423467,0.004378239704344367,0.0,1760607216.9364185
9,43,-0.13701778820821728,0.004655288506719294,0.0,-5.8917648929533435,0.20017740578892962,0.0,1760607218.1192043
10,31,-0.17332149002238778,-0.002025029207281737,0.0,-5.372966190694021,-0.06277590542573386,0.0,1760607219.334551
11,21,-0.11899047805245766,0.00850752469586106,0.0,-2.498800039101611,0.17865801861308228,0.0,1760607220.1466725
12,37,-0.051803393696017906,0.28898693844960216,0.0,-1.9167255667526626,10.69251672263528,0.0,1760607254.1330314
13,34,-0.08370635249165026,0.014764487974880953,-0.058823529411764705,-2.8460159847161086,0.5019925911459524,-2.0,1760607255.3281295
14,51,-0.08469617192375385,0.014852418678542968,0.0,-4.319504768111447,0.7574733526056914,0.0,1760607256.3032804
15,47,-0.09251088055595415,0.012607730691717696,0.0,-4.348011386129845,0.5925633425107317,0.0,1760607294.5599892
16,51,-0.07702707582592626,0.014837606243425696,0.0,-3.928380867122239,0.7567179184147105,0.0,1760607295.7748265
17,13,-0.06715852078859087,0.0190583410993531,0.0,-0.8730607702516813,0.2477584342915903,0.0,1760607296.026425
18,35,-0.06350822084288521,0.019029965808783553,0.0,-2.2227877295009826,0.6660488033074243,0.0,1760607297.0565531
19,7,-0.1938324315611346,-0.0044362351203314655,0.0,-1.3568270209279423,-0.03105364584232026,0.0,1760607297.20789
20,35,-0.06267405631614413,0.018580229683978433,0.0,-2.1935919710650444,0.6503080389392452,0.0,1760607340.8964567
21,19,-0.12854811964723128,0.007809282686878956,0.0,-2.4424142732973944,0.14837637105070017,0.0,1760607341.415891
22,11,-0.09530565293337225,0.016383704576293085,0.0,-1.0483621822670948,0.18022075033922394,0.0,1760607341.980406
23,17,-0.053448715307079286,0.020149612295537075,0.0,-0.9086281602203479,0.3425434090241303,0.0,1760607342.8241546
24,15,-0.06402991529872884,0.019105167454665842,-0.06666666666666667,-0.9604487294809326,0.28657751181998764,-1.0,1760607344.0690088
25,27,-0.056343251366844024,0.020296137536434302,0.0,-1.5212677869047886,0.5479957134837261,0.0,1760607388.1475003
26,36,-0.07233921402998195,0.01691149979694848,-0.027777777777777776,-2.6042117050793503,0.6088139926901452,-1.0,1760607388.9777763
27,3,-0.06399552591603884,3.3511196975153728,0.0,-0.1919865777481165,10.053359092546119,0.0,1760607389.157632
28,12,-0.08182933022281201,0.017481034234379873,0.0,-0.9819519626737441,0.20977241081255849,0.0,1760607389.9160018
29,32,-0.09766444195080695,0.011124548811808115,0.0,-3.1252621424258225,0.3559855619778597,0.0,1760607391.0749326
30,49,-0.09133554266164015,0.012526574039964168,-0.02040816326530612,-4.475441590420368,0.6138021279582442,-1.0,1760607437.0326107
31,3,-0.07724626377235382,0.019711513187040508,0.0,-0.23173879131706143,0.059134539561121524,0.0,1760607437.111588
32,36,-0.07172454478425813,0.29462509792771446,-0.027777777777777776,-2.582083612233293,10.60650352539772,-1.0,1760607438.399054
33,9,-0.0390008408989771,1.1317155187638661,0.0,-0.3510075680907939,10.185439668874794,0.0,1760607438.590446
34,13,-0.04383311445485659,0.7906577858918382,0.0,-0.5698304879131356,10.278551216593897,0.0,1760607439.3457594
35,26,-0.054433780581039364,0.019360511980818226,0.0,-1.4152782951070235,0.5033733115012738,0.0,1760607488.2438917
36,15,-0.06723379392831215,0.018655561343172887,0.0,-1.0085069089246823,0.2798334201475933,0.0,1760607488.5340164
37,12,-0.0543297783411155,0.8535695091032802,0.0,-0.651957340093386,10.242834109239363,0.0,1760607489.0525851
38,17,-0.07664018122792184,0.01812385790111929,0.0,-1.3028830808746712,0.30810558431902796,0.0,1760607489.727949
39,37,-0.05390769690589077,0.01988898128337681,0.0,-1.9945847855179586,0.735892307484942,0.0,1760607490.512671
40,32,-0.05627216930311902,0.01932379455520084,0.0,-1.8007094176998086,0.6183614257664268,0.0,1760607491.1273193
