episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,35,-0.17112698792534212,-0.001210741260846723,-0.05714285714285714,-5.9894445773869744,-0.0423759441296353,-2.0
2,63,-0.10465332301743442,0.008916918273581502,0.0,-6.593159350098369,0.5617658512356346,0.0
3,181,-0.16907432028772146,-0.0019383140063650036,0.0,-30.60245197207758,-0.35083483515206565,0.0
4,27,-0.0949950338062208,0.01288863682279782,-0.037037037037037035,-2.564865912767962,0.34799319421554115,-1.0
