iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
200,-49.812,132.6,0.77,0.0056
400,-65.27,130.8,0.9,0.0111
600,-54.06,192.1,0.7,0.0
800,-51.202,124.37,0.6,0.0
1000,-56.959,149.07,0.97,0.0
1200,-63.945,125.8,1.3,0.0
1400,-40.801,143.53,0.93,0.0
1600,-41.533,120.17,0.77,0.0056
1800,-32.816,114.63,0.77,0.0222
2000,-41.053,153.1,0.97,0.0111
2200,-45.625,117.27,1.1,0.0056
2400,-32.134,140.0,0.67,0.0389
2600,-35.775,151.57,0.53,0.0278
2800,-35.469,129.9,0.33,0.0222
3000,-20.33,191.3,0.17,0.0778
3200,-13.748,156.27,0.8,0.2611
3400,-13.142,154.5,0.2,0.2667
3600,0.281,121.1,0.63,0.3389
3800,38.433,111.73,0.4,0.6667
4000,38.188,113.2,0.4,0.75
4200,41.275,116.53,0.43,0.7667
4400,39.385,118.9,0.53,0.8667
4600,13.301,131.0,0.67,0.6056
4800,36.694,113.67,0.47,0.7611
5000,23.784,129.63,0.47,0.7444
5200,46.284,117.53,0.33,0.8389
5400,50.022,120.7,0.43,0.8944
5600,42.168,129.0,0.77,0.9167
5800,50.345,107.17,0.33,0.8722
6000,45.691,116.3,0.67,0.9389
