iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
200,-72.501,128.1,1.23,0.0444
400,-72.869,176.7,1.03,0.0
600,-54.363,121.6,1.27,0.0056
800,-59.725,140.87,0.7,0.0
1000,-56.654,127.9,1.17,0.0
1200,-30.733,118.77,0.63,0.0
1400,-53.67,189.8,0.93,0.0111
1600,-28.145,109.37,0.53,0.0
1800,-44.59,154.63,0.97,0.0056
2000,-56.29,139.37,1.1,0.0111
2200,-29.762,116.0,0.9,0.0
2400,-29.357,125.6,1.1,0.0333
2600,-40.783,131.57,1.27,0.0333
2800,-24.472,138.23,0.57,0.0833
3000,-37.066,119.03,0.97,0.0444
3200,-29.746,115.97,0.43,0.0389
3400,-33.563,132.2,0.63,0.0778
3600,-29.599,147.37,0.87,0.1722
3800,-38.401,148.4,0.67,0.2222
4000,-4.107,128.43,0.93,0.3444
4200,5.999,114.97,0.87,0.5556
4400,35.527,119.07,0.77,0.8111
