episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at,pid,agent
1,7,-0.0092912847178328,0.0217138073124085,0.0,0.0,-0.06503899302483,0.15199665118686,0.0,0.0,0,1761293939.012558,pid_16184,KL005
1,11,-0.0159560572916549,0.1062372795450809,0.0,0.0,-0.1755166302082047,1.1686100749958903,0.0,0.0,0,1761293939.0461214,pid_37692,KL003
1,14,-0.0123560943735335,0.0176318856347383,-0.2142857142857142,-0.0385380276691803,-0.1729853212294692,0.2468463988863363,-3.0,-0.5395323873685255,1,1761293939.102981,pid_15220,KL006
1,14,-0.0072425226124599,0.01921477679633,0.0,0.0,-0.1013953165744393,0.2690068751486212,0.0,0.0,0,1761293939.1059804,pid_33316,KL001
1,15,-0.013370156382391,0.0825916070525354,0.0,0.0,-0.2005523457358655,1.2388741057880313,0.0,0.0,0,1761293939.1149814,pid_33316,KL003
1,16,-0.0223213810935093,0.0098711053432024,0.0,0.0,-0.35714209749615,0.1579376854912396,0.0,0.0,0,1761293939.1309888,pid_8676,KL005
1,21,-0.0215250203764105,0.0092517325083735,0.0,0.0,-0.4520254279046225,0.1942863826758449,0.0,0.0,0,1761293939.1394238,pid_2060,KL002
1,22,-0.0121976024319641,0.0153338247118349,-0.6818181818181818,-0.0414981019391354,-0.2683472535032112,0.3373441436603695,-15.0,-0.9129582426609796,5,1761293939.1475816,pid_8932,KL004
1,16,-0.0187152026082484,0.0124789109185171,0.0,0.0,-0.299443241731975,0.1996625746962751,0.0,0.0,0,1761293939.1530955,pid_38700,KL001
1,23,-0.0080109420928568,0.0610805048714858,0.0,0.0,-0.1842516681357069,1.4048516120441752,0.0,0.0,0,1761293939.1561038,pid_28436,KL005
1,25,-0.0054821406647133,0.0190560920921254,0.0,0.0,-0.1370535166178345,0.4764023023031362,0.0,0.0,0,1761293939.1696286,pid_28436,KL003
1,23,-0.0159198173524061,0.0126773770142723,-0.6521739130434783,-0.0766543829242054,-0.3661557991053417,0.2915796713282649,-15.0,-1.763050807256726,5,1761293939.1746264,pid_22744,KL005
1,26,-0.0168235672661385,0.0133327960781731,-0.4615384615384615,-0.0129406228925593,-0.4374127489196013,0.3466526980325015,-12.0,-0.3364561952065432,4,1761293939.194293,pid_10256,KL006
1,29,-0.0305917802235563,0.0025965190352481,-0.5172413793103449,-0.0607948554226457,-0.8871616264831332,0.075299052022197,-15.0,-1.763050807256726,5,1761293939.2181149,pid_22744,KL001
