iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
200,-56.234,156.37,0.7,0.0167
400,-71.799,131.63,0.9,0.0111
600,-73.801,145.37,1.3,0.0056
800,-55.698,121.2,1.13,0.0056
1000,-48.102,123.67,1.0,0.0056
1200,-47.412,118.13,0.9,0.0056
1400,-58.668,128.8,1.13,0.0
1600,-54.708,132.7,0.9,0.0056
1800,-35.569,121.53,0.8,0.0056
2000,-45.247,122.37,1.2,0.0111
2200,-53.029,185.97,1.27,0.0111
2400,-48.867,168.83,1.03,0.0
2600,-36.189,113.6,1.03,0.0056
2800,-28.155,111.3,0.67,0.0111
3000,-37.235,165.33,0.7,0.0167
3200,-33.218,135.07,0.27,0.0056
3400,-28.459,142.03,0.33,0.0222
3600,-35.648,157.97,0.57,0.0333
3800,-42.832,142.57,0.7,0.0167
4000,-24.093,118.87,0.33,0.0389
4200,-29.588,124.17,0.47,0.0222
4400,-23.969,141.33,0.6,0.0389
