episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,49,-0.1642419289666053,-0.0009959135364759851,-0.02040816326530612,-8.04785451936366,-0.04879976328732327,-1.0
2,15,-0.16634558259541762,-0.000903104089116824,0.0,-2.4951837389312645,-0.01354656133675236,0.0
3,16,-0.2010974036092184,-0.006593034536972938,-0.3125,-3.2175584577474945,-0.105488552591567,-5.0
4,48,-0.13921697569937702,0.0026028141708944567,0.0,-6.682414833570097,0.12493508020293392,0.0
5,4,-0.0916652363134728,0.0165598767559238,0.0,-0.3666609452538912,0.0662395070236952,0.0
6,7,-0.1009910205246723,0.013557146394767279,0.0,-0.7069371436727061,0.09490002476337095,0.0
7,5,-0.12573095407149873,0.009598274644202941,0.0,-0.6286547703574936,0.04799137322101471,0.0
8,33,-0.08660241198442951,0.013655700050103955,0.0,-2.8578795954861738,0.45063810165343055,0.0
9,22,-0.13036749137453005,0.0062898833671833,0.0,-2.868084810239661,0.1383774340780326,0.0
10,60,-0.09346700880870154,0.01248644868820217,0.0,-5.6080205285220925,0.7491869212921302,0.0
