episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
1,30,-0.007252632812574176,0.1793040921044751,0.0,-0.21757898437722528,5.379122763134252,0.0,1760705616.8196027
2,30,-0.021666649533594474,0.012749103493748831,0.0,-0.6499994860078342,0.38247310481246494,0.0,1760705621.7810907
3,27,-0.012930203332844463,0.1986558962139523,0.0,-0.34911548998680053,5.363709197776712,0.0,1760705625.3423355
4,44,-0.004797167159473163,0.12791313912730812,0.0,-0.21107535501681918,5.628178121601557,0.0,1760705633.8554304
5,61,-0.00598148646184701,0.09350498701745376,-0.01639344262295082,-0.3648706741726676,5.703804208064679,-1.0,1760705643.2406046
6,40,-0.018053150822507396,0.14497729426421807,0.0,-0.7221260329002959,5.799091770568723,0.0,1760705647.6274974
7,7,-0.0790573773467201,0.7327365071569176,0.0,-0.5534016414270406,5.129155550098424,0.0,1760705652.3978298
8,44,-0.009265430643610274,0.12554328460358702,0.0,-0.4076789483188521,5.523904522557829,0.0,1760705663.3864703
9,33,-0.005556594016611154,0.1654678505696681,-0.030303030303030304,-0.18336760254816808,5.460439068799047,-1.0,1760705667.053557
10,53,-0.0045298923570022045,0.1082923905630434,0.0,-0.24008429492111685,5.7394966998413,0.0,1760705675.2902193
