iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-138.077,258.93,0.67,0.1389
10,-76.442,94.57,0.3,0.95
15,-65.732,107.93,0.43,0.9222
20,-102.683,122.17,0.57,0.8
25,-98.183,119.87,0.7,0.8611
30,-96.149,134.07,0.77,0.8778
35,-74.159,109.17,0.53,0.8611
40,-128.017,134.6,1.03,0.8611
45,-233.537,132.4,1.63,0.8611
50,-182.3,132.03,1.73,0.7944
55,-192.976,129.43,1.63,0.7778
60,-167.007,123.63,1.3,0.8222
65,-95.997,125.53,0.8,0.8389
70,-166.369,139.33,0.8,0.7722
75,-111.008,121.57,1.0,0.8222
