episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
1,2,-0.022923509736749226,0.7823933695475281,0.0,0.0,-0.04584701947349845,1.5647867390950563,0.0,0.0,0,1761137103.2589562
2,8,-0.018883728349248955,0.02841014660071573,0.0,0.0,-0.15106982679399164,0.22728117280572585,0.0,0.0,0,1761137104.0735912
3,23,-0.04026268853948512,-0.015664750527861582,0.0,-0.020566635284239104,-0.9260418364081578,-0.36028926214081636,0.0,-0.4730326115374994,0,1761137104.8244133
4,39,-0.02897583014232689,0.007115249960363959,-0.15384615384615385,-0.02367702602217094,-1.1300573755507488,0.2774947484541944,-6.0,-0.9234040148646666,1,1761137105.3787746
5,67,-0.026637234434856192,0.009782102385835744,-0.1791044776119403,-0.03180835470172945,-1.784694707135365,0.6554008598509948,-12.0,-2.131159765015873,2,1761137106.3619232
6,9,-0.013318046003190096,0.03524888446575335,0.0,0.0,-0.11986241402871087,0.31723996019178013,0.0,0.0,0,1761137106.521332
7,14,-0.03601343296517525,-0.003405863184884236,0.0,-0.02310745434219702,-0.5041880615124535,-0.0476820845883793,0.0,-0.3235043607907583,0,1761137107.1816728
8,22,-0.023135862730126876,0.018024073540183295,0.0,-0.02018537379109322,-0.5089889800627913,0.3965296178840325,0.0,-0.44407822340405084,0,1761137107.9057715
9,40,-0.026055060735940834,0.009305491384263927,0.0,0.0,-1.0422024294376333,0.37221965537055707,0.0,0.0,0,1761137108.6789706
10,35,-0.03426996951888669,-0.0033628847949194376,0.0,-0.05988806942540416,-1.199448933161034,-0.11770096782218031,0.0,-2.0960824298891456,0,1761137109.2236621
11,13,-0.027083176659348993,0.011259747799628137,0.0,0.0,-0.3520812965715369,0.14637672139516578,0.0,0.0,0,1761137136.1289814
12,11,-0.027502875922776657,0.012374650981347594,0.0,0.0,-0.3025316351505432,0.13612116079482353,0.0,0.0,0,1761137136.5283823
13,7,-0.02125944795149664,0.02358156460347887,0.0,-0.31988321976382433,-0.14881613566047647,0.16507095222435209,0.0,-2.2391825383467703,0,1761137137.1052766
14,10,-0.02633455142122474,0.015592032034165548,0.0,0.0,-0.2633455142122474,0.15592032034165548,0.0,0.0,0,1761137137.606877
15,17,-0.0273987959805653,0.010372051435786775,0.0,0.0,-0.4657795316696101,0.1763248744083752,0.0,0.0,0,1761137138.2872827
16,7,-0.04536088960858009,-0.01852591380838783,-0.8571428571428571,-0.09344178025709582,-0.31752622726006063,-0.1296813966587148,-6.0,-0.6540924617996707,1,1761137138.5665164
17,52,-0.03004318217948621,0.031050104982795347,-0.34615384615384615,-0.01042777962261799,-1.562245473333283,1.614605459105358,-18.0,-0.5422445403761355,3,1761137139.7402
