episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,126,-0.00541832766912754,-0.002709871630200003,0.0,0.0,-0.007936507936507936,-0.020000000000000014,0.014532635550824543,-0.6827092863100701,-0.34144382540520035,0.0,0.0,-1.0,-2.520000000000002,1.8311120794038924,0,False,True,1764577434.2800982
2,111,-0.0028988535885169117,0.008116018643652596,-0.8108108108108109,0.0,-0.009009009009009009,-0.020000000000000014,0.2298119800721177,-0.3217727483253772,0.900878069445438,-90.0,0.0,-1.0,-2.2200000000000015,25.509129788005065,9,False,True,1764577444.4568074
3,74,-0.001212829501953145,0.042924487758139014,-2.027027027027027,0.0,0.0,-0.02000000000000001,0.3529705286161033,-0.08974938314453274,3.176412094102287,-150.0,0.0,0.0,-1.4800000000000009,26.119819117591643,15,True,False,1764577454.4425735
4,148,-0.00456807377880111,-6.360271490776257e-05,-0.6081081081081081,0.0,-0.006756756756756757,-0.020000000000000014,0.11454583156770994,-0.6760749192625644,-0.009413201806348859,-90.0,0.0,-1.0,-2.960000000000002,16.95278307202107,9,False,True,1764577481.7474566
5,121,-0.002624527274323848,0.02407527036287177,-2.809917355371901,0.0,0.0,-0.020000000000000014,0.40259079912758994,-0.31756780019318565,2.9131077139074844,-340.0,0.0,0.0,-2.4200000000000017,48.71348669443838,34,True,False,1764577512.407957
6,43,-0.002960113475421722,0.007784022725045721,-3.255813953488372,0.0,-0.023255813953488372,-0.02000000000000001,0.4338541191725697,-0.12728487944313405,0.334712977176966,-140.0,0.0,-1.0,-0.8600000000000004,18.655727124420498,14,False,True,1764577529.6591735
7,128,-0.002171789693490897,0.025673723254635454,-2.109375,0.0,0.0,-0.020000000000000014,0.2122432787349236,-0.2779890807668348,3.286236576593338,-270.0,0.0,0.0,-2.560000000000002,27.16713967807022,27,True,False,1764577555.5703697
8,299,-0.003390719201776957,0.0030633588748499602,-0.4013377926421405,0.0,-0.0033444816053511705,-0.01999999999999987,0.13740909537753326,-1.0138250413313101,0.9159443035801381,-120.0,0.0,-1.0,-5.9799999999999605,41.085319517882446,12,False,True,1764577590.8669488
9,68,-0.0018166330832115277,0.04087819443391169,-1.1764705882352942,0.0,0.0,-0.02000000000000001,0.13368550254541728,-0.12353104965838389,2.779717221505995,-80.0,0.0,0.0,-1.3600000000000008,9.090614173088374,8,True,False,1764577597.733572
10,147,-0.0016798619224614772,0.024939319996787616,-2.0408163265306123,0.0,0.0,-0.020000000000000014,0.33390754534374856,-0.24693970260183715,3.6660800395277793,-300.0,0.0,0.0,-2.940000000000002,49.084409165531035,30,True,True,1764577632.3636222
11,20,-0.0009849884861048604,0.10956664017778059,0.0,0.0,0.0,-0.020000000000000004,0.12017259825552482,-0.019699769722097207,2.191332803555612,0.0,0.0,0.0,-0.4000000000000001,2.4034519651104964,0,True,False,1764577635.3551757
