episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,25,-0.006324242986021297,-0.008722909897485604,0.0,0.0,0.0,-0.005000000000000001,0.05868145161396065,-0.15810607465053242,-0.2180727474371401,0.0,0.0,0.0,-0.12500000000000003,1.4670362903490162,0,False,True,False,1764587942.3217144
2,31,-0.004279405842772986,0.0020213153248822917,-0.4838709677419355,0.0,0.0,-0.005000000000000002,0.05292811609700403,-0.13266158112596257,0.06266077507135104,-15.0,0.0,0.0,-0.15500000000000005,1.6407715990071248,1,False,True,False,1764587946.3460348
3,1,-0.0006231702910068601,2.0,0.0,0.0,0.0,-0.005,0.0,-0.0006231702910068601,2.0,0.0,0.0,0.0,-0.005,0.0,0,True,False,False,1764587949.7766862
4,8,-0.0022085839402164326,0.008711133866678794,-1.875,0.0,0.0,-0.005,0.3270559909413507,-0.01766867152173146,0.06968907093343035,-15.0,0.0,0.0,-0.04,2.6164479275308055,1,False,True,False,1764587958.9667106
5,184,-0.005673745037555389,-0.003850558549361294,-0.4891304347826087,0.0,-0.010869565217391304,-0.005000000000000004,0.08587592119569835,-1.0439690869101916,-0.7085027730824781,-90.0,0.0,-2.0,-0.9200000000000007,15.801169500008497,6,False,False,True,1764587978.881749
6,29,-0.004595325517376955,0.00017356850600044212,-0.5172413793103449,0.0,0.0,-0.005000000000000002,0.10706485035334525,-0.13326444000393167,0.0050334866740128215,-15.0,0.0,0.0,-0.14500000000000005,3.1048806602470123,1,False,True,False,1764587983.006098
7,100,-0.005911227812458983,-0.00354348381973299,0.0,0.0,0.0,-0.005000000000000004,0.02032959951227599,-0.5911227812458982,-0.354348381973299,0.0,0.0,0.0,-0.5000000000000003,2.032959951227599,0,False,True,False,1764588007.6884685
8,13,-0.0015257397919079018,0.009600993365602632,-1.1538461538461537,0.0,0.0,-0.004999999999999999,0.2420500126428051,-0.019834617294802723,0.12481291375283421,-15.0,0.0,0.0,-0.06499999999999999,3.1466501643564664,1,False,True,False,1764588015.0485435
9,11,-0.0008818564617771676,0.006415783405202072,0.0,0.0,0.0,-0.004999999999999999,0.2384837687790932,-0.009700421079548844,0.07057361745722279,0.0,0.0,0.0,-0.05499999999999999,2.623321456570025,0,False,True,False,1764588027.1048446
10,25,-0.0012793360016629643,0.01413976376603415,-0.6,0.0,0.0,-0.005000000000000001,0.04693193746408709,-0.03198340004157411,0.35349409415085375,-15.0,0.0,0.0,-0.12500000000000003,1.1732984366021773,1,False,True,False,1764588052.502181
11,33,-0.0016095694892168204,0.005879828511495055,-0.45454545454545453,0.0,0.0,-0.005000000000000002,0.14115287763677928,-0.05311579314415507,0.1940343408793368,-15.0,0.0,0.0,-0.16500000000000006,4.658044962013716,1,False,True,False,1764588082.6888394
12,21,-0.001448254382647913,0.011657660633342745,-0.7142857142857143,0.0,0.0,-0.005000000000000001,0.20962376531115398,-0.030413342035606174,0.24481087330019763,-15.0,0.0,0.0,-0.10500000000000002,4.402099071534233,1,False,True,False,1764588098.1676233
13,5,-0.001275186213211219,0.011303565154905515,-3.0,0.0,0.0,-0.005,0.7001385899103336,-0.006375931066056095,0.056517825774527575,-15.0,0.0,0.0,-0.025,3.5006929495516683,1,False,True,False,1764588118.1744328
14,61,-0.004583760118461858,-0.0013738192031363349,0.0,0.0,0.0,-0.005000000000000003,0.033782681143230506,-0.2796093672261733,-0.08380297139131643,0.0,0.0,0.0,-0.30500000000000016,2.0607435497370608,0,False,True,False,1764588146.5341275
15,14,-0.001259178130852105,0.15129435107855696,0.0,0.0,0.0,-0.004999999999999999,0.0,-0.017628493831929472,2.1181209150997975,0.0,0.0,0.0,-0.06999999999999999,0.0,0,True,False,False,1764588158.1507642
16,16,-0.002128223614752078,0.1316488614899855,0.0,0.0,0.0,-0.005,0.0,-0.03405157783603325,2.106381783839768,0.0,0.0,0.0,-0.08,0.0,0,True,False,False,1764588171.2746816
17,43,-0.0036621869349760484,0.0014476323412195226,-0.3488372093023256,0.0,0.0,-0.005000000000000003,0.049326613069277686,-0.15747403820397007,0.062248190672439474,-15.0,0.0,0.0,-0.2150000000000001,2.1210443619789405,1,False,True,False,1764588197.988238
18,143,-0.0029700766921824753,0.008053160551008619,-0.3146853146853147,0.0,-0.013986013986013986,-0.005000000000000004,0.048082967255555914,-0.42472096698209394,1.1516019587942325,-45.0,0.0,-2.0,-0.7150000000000005,6.875864317544496,3,False,False,True,1764588234.2309122
19,25,-0.0023811920101982327,0.08791177803013746,0.0,0.0,0.0,-0.005000000000000001,0.0,-0.059529800254955814,2.1977944507534364,0.0,0.0,0.0,-0.12500000000000003,0.0,0,True,False,False,1764588239.7695239
