episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,27,-0.001420202773798854,0.013299414759311005,-3.3333333333333335,0.0,0.0,-0.005000000000000001,0.4043639940585713,-0.03834547489256906,0.35908419850139717,-90.0,0.0,0.0,-0.13500000000000004,10.917827839581426,6,False,True,False,1764682908.8392563
2,66,-0.005460828073056006,-0.0008467846340001531,0.0,0.0,0.0,-0.005000000000000003,0.03686701334331105,-0.3604146528216964,-0.05588778584401011,0.0,0.0,0.0,-0.3300000000000002,2.4332228806585294,0,False,True,False,1764682920.5389886
3,60,-0.0056518839693558256,-0.0032710066512979955,-1.0,0.0,-0.03333333333333333,-0.005000000000000003,0.0955515312423492,-0.3391130381613495,-0.19626039907787973,-60.0,0.0,-2.0,-0.30000000000000016,5.7330918745409525,4,False,False,True,1764682944.6257703
4,8,-0.001608171611646861,0.005838798641234599,-1.875,0.0,0.0,-0.005,0.2744012701997949,-0.012865372893174888,0.046710389129876795,-15.0,0.0,0.0,-0.04,2.195210161598359,1,False,True,False,1764682992.3750224
5,33,-0.006851203162472699,-0.010167136580065822,-0.45454545454545453,0.0,0.0,-0.005000000000000002,0.33430055116823504,-0.22608970436159906,-0.3355155071421721,-15.0,0.0,0.0,-0.16500000000000006,11.031918188551757,1,False,True,False,1764683061.2233741
6,400,-0.004468538750630533,-0.0006704226823342282,0.0,0.0,0.0,-0.004999999999999948,0.11873831121637235,-1.787415500252213,-0.2681690729336913,0.0,0.0,0.0,-1.9999999999999793,47.49532448654894,0,False,False,True,1764683168.08091
7,9,-0.0023466099005213384,0.005931182059338131,-1.6666666666666667,0.0,0.0,-0.005,0.44984822712840017,-0.021119489104692045,0.05338063853404318,-15.0,0.0,0.0,-0.045,4.048634044155602,1,False,True,False,1764683169.7751198
8,3,-0.0008781274003924474,0.010092086464384456,-5.0,0.0,0.0,-0.005,0.6468502713731334,-0.0026343822011773424,0.03027625939315337,-15.0,0.0,0.0,-0.015,1.9405508141194003,1,False,True,False,1764683206.6970155
9,149,-0.0030787744195830526,0.003609410404661043,0.0,0.0,0.0,-0.005000000000000004,0.03754054997634196,-0.4587373885178748,0.5378021502944954,0.0,0.0,0.0,-0.7450000000000006,5.593541946474952,0,False,True,False,1764683268.0657485
10,12,-0.0013645397639822853,0.006459359844748232,-1.25,0.0,0.0,-0.004999999999999999,0.10680436648959708,-0.016374477167787425,0.07751231813697879,-15.0,0.0,0.0,-0.05999999999999999,1.281652397875165,1,False,True,False,1764683281.7031
