iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-245.316,178.47,39.73,0.3944
1000,-452.596,171.0,51.0,0.3967
1500,-288.502,151.53,34.57,0.3144
2000,-258.637,184.9,37.2,0.3744
2500,-234.635,391.27,56.1,0.4022
3000,-208.725,226.0,40.3,0.4144
3500,-59.756,309.4,31.53,0.4667
4000,-85.101,183.53,25.17,0.4244
4500,-30.84,379.63,38.03,0.3867
5000,54.01,380.47,30.8,0.3956
5500,-33.483,229.4,25.4,0.4567
6000,38.826,375.07,26.43,0.3933
6500,-38.145,385.07,29.27,0.3878
7000,-64.529,394.97,30.4,0.4567
7500,159.007,399.13,29.13,0.3978
8000,18.168,358.63,28.57,0.4411
8500,-127.684,360.43,40.03,0.3989
9000,-239.205,354.97,42.1,0.3489
9500,126.229,394.33,28.73,0.37
