episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_intrusion,terminated_waypoint,truncated,finished_at
1,1,-0.0028975480469230854,0.034319368980880505,0.0,0.0,-0.0028975480469230854,0.034319368980880505,0.0,0.0,0,True,False,False,1761306727.4715223
2,21,-0.0010766637685499915,0.06789779767547277,0.0,0.0,-0.022609939139549822,1.4258537511849283,0.0,0.0,0,False,True,False,1761306729.7866833
3,22,-0.001695890475492988,0.02107584464721128,-0.13636363636363635,-0.24249132152689282,-0.03730959046084573,0.46366858223864815,-3.0,-5.334809073591642,1,True,False,False,1761306741.3420918
4,34,-0.002199444762087627,0.049265413804390486,0.0,0.0,-0.07478112191097931,1.6750240693492766,0.0,0.0,0,False,True,False,1761306745.077233
5,91,-0.0024550376656546176,0.03046901585611092,0.0,0.0,-0.2234084275745702,2.772680442906094,0.0,0.0,0,False,True,False,1761306760.4951482
6,15,-0.0020113412823044422,0.021858881875753185,-0.2,-0.296945574780182,-0.030170119234566632,0.3278832281362978,-3.0,-4.454183621702731,1,True,False,False,1761306763.3937583
7,80,-0.002291453283842443,0.03203812923515437,0.0,-0.22708991416991803,-0.18331626270739546,2.5630503388123493,0.0,-18.167193133593443,0,False,True,False,1761306771.9410758
8,36,-0.0024386192768476684,0.020344966394236077,0.0,-0.012389406258205928,-0.08779029396651607,0.7324187901924988,0.0,-0.4460186252954134,0,True,False,False,1761306776.6727817
9,1,-0.002935176425799597,0.03431526929387041,0.0,0.0,-0.002935176425799597,0.03431526929387041,0.0,0.0,0,True,False,False,1761306776.8853803
10,12,-0.002088751865921303,0.022511010951738356,0.0,0.0,-0.02506502239105564,0.2701321314208603,0.0,0.0,0,True,False,False,1761306778.2711377
