episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,13,-0.139062161698433,0.0,0.0,-1.8078081020796288,0.0,0.0,1761039014.9325068,pid_29628,KL003
1,12,-0.1886944735957856,0.0,0.0,-2.264333683149427,0.0,0.0,1761039014.9345047,pid_8616,KL002
1,13,-0.0740617193334313,0.0,-0.0769230769230769,-0.9628023513346072,0.0,-1.0,1761039014.943543,pid_30944,KL003
1,13,-0.1827869486787987,0.0,-0.2307692307692307,-2.3762303328243832,0.0,-3.0,1761039014.943543,pid_30944,KL006
1,15,-0.0713088070339451,0.0,0.0,-1.069632105509177,0.0,0.0,1761039014.9455457,pid_10116,KL002
1,15,-0.1446383242012397,0.0,0.0,-2.169574863018596,0.0,0.0,1761039014.9528131,pid_21676,KL001
1,14,-0.2291825204824328,0.0,0.0,-3.208555286754059,0.0,0.0,1761039014.9573328,pid_32348,KL006
1,12,-0.1174253134827958,0.0,0.0,-1.4091037617935502,0.0,0.0,1761039014.9583333,pid_20272,KL005
1,14,-0.0621745252637572,0.0,-0.2142857142857142,-0.8704433536926012,0.0,-3.0,1761039014.9603364,pid_30944,KL001
1,15,-0.1089856057960903,0.0,0.0,-1.6347840869413557,0.0,0.0,1761039014.9663336,pid_29612,KL001
1,16,-0.0556919196733985,0.0,0.0,-0.8910707147743768,0.0,0.0,1761039014.9873905,pid_25980,KL005
1,20,-0.2331186090266726,0.0,0.0,-4.662372180533453,0.0,0.0,1761039015.0125675,pid_10116,KL005
1,21,-0.1881926858748563,0.0,0.0,-3.952046403371982,0.0,0.0,1761039015.0265958,pid_10116,KL001
1,21,-0.1938895561105914,0.0,0.0,-4.071680678322421,0.0,0.0,1761039015.0295975,pid_16000,KL006
1,23,-0.1809515423949236,0.0,-0.1739130434782608,-4.161885475083245,0.0,-4.0,1761039015.0315945,pid_4080,KL006
1,21,-0.1064698352895305,0.0,0.0,-2.2358665410801417,0.0,0.0,1761039015.0325952,pid_17892,KL001
1,20,-0.1039814781552748,0.0,0.0,-2.079629563105497,0.0,0.0,1761039015.033595,pid_29116,KL005
1,17,-0.1748563792766242,0.0,0.0,-2.972558447702613,0.0,0.0,1761039015.0371146,pid_20272,KL006
1,19,-0.1499394478815726,0.0,0.0,-2.848849509749881,0.0,0.0,1761039015.0381143,pid_8616,KL001
1,24,-0.1715557874054566,0.0,0.0,-4.117338897730959,0.0,0.0,1761039015.0536292,pid_26880,KL002
1,24,-0.1487617086539325,0.0,0.0,-3.5702810076943803,0.0,0.0,1761039015.079146,pid_24992,KL006
1,23,-0.1509711072484363,0.0,0.0,-3.472335466714037,0.0,0.0,1761039015.0876594,pid_8616,KL006
1,26,-0.1891796700721868,0.0,0.0,-4.918671421876857,0.0,0.0,1761039015.088661,pid_10116,KL004
1,23,-0.082814918230444,0.0,-0.0434782608695652,-1.9047431193002125,0.0,-1.0,1761039015.0906627,pid_22012,KL002
1,23,-0.2107696238421504,0.0,-0.0434782608695652,-4.84770134836946,0.0,-1.0,1761039015.0906627,pid_22012,KL005
1,27,-0.1617232813519667,0.0,0.0,-4.366528596503101,0.0,0.0,1761039015.091662,pid_26880,KL006
1,23,-0.1583934853466016,0.0,0.0,-3.6430501629718375,0.0,0.0,1761039015.1061878,pid_29612,KL004
1,25,-0.0989899107520687,0.0,0.0,-2.474747768801719,0.0,0.0,1761039015.117789,pid_21676,KL005
1,25,-0.1458036490314948,0.0,0.0,-3.6450912257873713,0.0,0.0,1761039015.124793,pid_2040,KL002
1,25,-0.0999892898734797,0.0,-0.04,-2.499732246836993,0.0,-1.0,1761039015.124793,pid_22012,KL006
1,31,-0.1898609713564028,0.0,0.0,-5.885690112048487,0.0,0.0,1761039015.1463196,pid_26880,KL001
1,27,-0.1588922218692736,0.0,0.0,-4.290089990470388,0.0,0.0,1761039015.1463196,pid_25980,KL003
1,27,-0.1201356482240279,0.0,-0.037037037037037,-3.2436625020487533,0.0,-1.0,1761039015.1547737,pid_22012,KL003
1,28,-0.1462493135602131,0.0,0.0,-4.094980779685967,0.0,0.0,1761039015.1576643,pid_21676,KL003
1,29,-0.1617317935797994,0.0,-0.0689655172413793,-4.690222013814184,0.0,-2.0,1761039015.1725836,pid_32348,KL001
1,33,-0.1233642760169063,0.0,0.0,-4.07102110855791,0.0,0.0,1761039015.1881106,pid_29628,KL002
1,35,-0.1467012529897758,0.0,0.0,-5.1345438546421525,0.0,0.0,1761039015.1966264,pid_4080,KL002
1,33,-0.0899320916774093,0.0,0.0,-2.967759025354508,0.0,0.0,1761039015.2293189,pid_20272,KL003
2,9,-0.1802158084565488,0.0,0.0,-1.6219422761089397,0.0,0.0,1761039015.2333193,pid_8616,KL003
1,38,-0.139790860556863,0.0,0.0,-5.312052701160794,0.0,0.0,1761039015.237321,pid_26880,KL004
1,31,-0.147251009052047,0.0,0.0,-4.564781280613457,0.0,0.0,1761039015.2393196,pid_29612,KL005
1,37,-0.1874685916032562,0.0,-0.081081081081081,-6.936337889320482,0.0,-3.0,1761039015.239828,pid_29628,KL001
1,37,-0.2090055940270254,0.0,-0.081081081081081,-7.733206978999942,0.0,-3.0,1761039015.239828,pid_29628,KL005
1,36,-0.1651430326339026,0.0,-0.0277777777777777,-5.9451491748204965,0.0,-1.0,1761039015.267594,pid_23264,KL001
1,36,-0.0774659931358779,0.0,0.0,-2.7887757528916053,0.0,0.0,1761039015.2816255,pid_25980,KL004
2,13,-0.2014835715747433,0.0,0.0,-2.6192864304716634,0.0,0.0,1761039015.2876549,pid_8616,KL006
1,41,-0.1205886686977909,0.0,0.0,-4.944135416609431,0.0,0.0,1761039015.2891607,pid_24992,KL005
1,35,-0.1905552989945072,0.0,0.0,-6.669435464807752,0.0,0.0,1761039015.294701,pid_34704,KL001
1,40,-0.1942829153037624,0.0,0.0,-7.771316612150499,0.0,0.0,1761039015.313847,pid_2040,KL001
1,37,-0.2367410388857051,0.0,0.0,-8.75941843877109,0.0,0.0,1761039015.3263628,pid_34704,KL004
