iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-76.117,209.6,1.2,0.1111
100,-58.754,130.8,1.63,0.1333
150,-57.363,125.17,0.9,0.0389
200,-70.452,136.17,0.97,0.0111
250,-75.301,173.6,1.1,0.0111
300,-47.923,131.0,0.8,0.0
350,-44.413,133.67,0.77,0.0222
400,-70.655,153.3,1.03,0.0
450,-66.411,129.53,1.3,0.0
500,-52.847,116.7,0.7,0.0056
550,-60.776,145.8,1.0,0.0056
600,-54.744,122.1,0.7,0.0111
650,-68.815,147.57,1.0,0.0
700,-54.318,111.17,1.1,0.0056
750,-49.734,121.4,0.77,0.0111
800,-51.906,118.33,0.93,0.0056
850,-57.78,118.03,1.13,0.0
900,-63.864,133.43,1.07,0.0056
950,-52.504,124.93,0.97,0.0
1000,-50.352,135.37,0.73,0.0
1050,-87.48,187.23,1.47,0.0
1100,-43.197,151.83,0.77,0.0111
1150,-48.358,123.53,0.9,0.0
1200,-50.137,140.0,0.67,0.0
1250,-35.279,136.97,0.7,0.0
1300,-45.271,135.03,1.03,0.0056
1350,-47.723,133.5,1.03,0.0222
1400,-39.832,128.5,0.9,0.0
1450,-46.621,129.97,0.87,0.0056
1500,-42.316,114.93,1.17,0.0
