episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
14,192,-0.025366183580452274,0.0045048416796128615,-0.140625,-0.00819006674638031,-4.870307247446837,0.8649296024856694,-27.0,-1.5724928153050195,9,1761294237.4566517
15,46,-0.009666980186988559,0.011952488053901273,0.0,0.0,-0.4446810886014737,0.5498144504794585,0.0,0.0,0,1761294237.8996093
16,42,-0.010365270593722135,0.015886031387993646,0.0,0.0,-0.4353413649363297,0.6672133182957332,0.0,0.0,0,1761294238.6685627
17,97,-0.01996539309613243,0.008621869998714638,0.0,0.0,-1.9366431303248457,0.8363213898753199,0.0,0.0,0,1761294305.9245377
18,50,-0.017176603229327958,0.011199756400689567,0.0,0.0,-0.8588301614663979,0.5599878200344783,0.0,0.0,0,1761294307.2037144
19,87,-0.008534558334614974,0.0257188231748925,0.0,0.0,-0.7425065751115028,2.2375376162156475,0.0,0.0,0,1761294308.4906986
20,162,-0.00885866968670956,0.019804904964839443,-0.3148148148148148,-0.10819305243666485,-1.4351044892469489,3.2083946043039897,-51.0,-17.527274494739707,17,1761294309.840325
21,55,-0.006035706987647806,0.0362301833771934,0.0,0.0,-0.3319638843206293,1.9926600857456371,0.0,0.0,0,1761294310.3520694
22,57,-0.008620496117246202,0.03420390421773265,0.0,0.0,-0.4913682786830335,1.9496225404107612,0.0,0.0,0,1761294379.6174357
23,20,-0.014080044606007156,0.0646850829555873,0.0,0.0,-0.2816008921201431,1.2937016591117458,0.0,0.0,0,1761294380.3069396
24,133,-0.01454880281979258,0.020287067818036283,-0.7443609022556391,-0.02651049294010724,-1.9349907750324131,2.6981800197988255,-99.0,-3.525895561034263,33,1761294382.5675733
25,74,-0.011232578937846972,0.014616589284212339,0.0,0.0,-0.8312108414006759,1.081627607031713,0.0,0.0,0,1761294383.364728
26,74,-0.01492824742021795,0.011971154215569676,-0.16216216216216217,-0.036474044805279396,-1.1046903090961282,0.8858654119521561,-12.0,-2.699079315590675,4,1761294384.601055
27,111,-0.006239939362483299,0.02472451519160947,0.0,-0.03032902846427217,-0.6926332692356463,2.744421186268651,0.0,-3.366522159534211,0,1761294453.606655
28,91,-0.009626942990069842,0.02679464662560859,-0.06593406593406594,-0.023918675412391302,-0.8760518120963555,2.4383128429303818,-6.0,-2.1765994625276086,2,1761294454.5117326
29,42,-0.017360008107863166,0.010404598833932244,0.0,0.0,-0.729120340530253,0.43699315102515424,0.0,0.0,0,1761294455.2944825
30,90,-0.011630851410184056,0.013400345478043066,0.0,0.0,-1.046776626916565,1.206031093023876,0.0,0.0,0,1761294457.0752296
31,81,-0.008803957209515758,0.02791398366710806,0.0,0.0,-0.7131205339707765,2.261032677035753,0.0,0.0,0,1761294530.9790602
32,52,-0.007859171461818673,0.01768650738586748,0.0,0.0,-0.408676916014571,0.919698384065109,0.0,0.0,0,1761294531.6127956
33,24,-0.010391778640680104,0.058325453969138484,0.0,0.0,-0.24940268737632248,1.3998108952593236,0.0,0.0,0,1761294532.3027306
34,117,-0.010151101642939121,0.013018880247785239,-0.3333333333333333,-0.09517587560168259,-1.1876788922238772,1.5232089889908729,-39.0,-11.135577445396862,13,1761294533.8122694
35,138,-0.009700227882888528,0.022964605671423464,-0.2391304347826087,-0.0321533414733428,-1.338631447838617,3.1691155826564383,-33.0,-4.437161123321306,19,1761294534.9922469
