episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at,pid,agent,feature,index,min,max,mean,std,samples
1,1.0,-0.023778931767736,1.0,0.0,-0.023778931767736,1.0,0.0,0.0,1761056922.6805692,pid_31928,KL003,,,,,,,
1,2.0,-0.1461086473200935,0.0,0.0,-0.2922172946401871,0.0,0.0,0.0,1761056922.6996253,pid_31928,KL002,,,,,,,
1,2.0,-0.1113026704597069,0.0,0.0,-0.2226053409194139,0.0,0.0,0.0,1761056922.7056737,pid_10268,KL001,,,,,,,
1,3.0,-0.025817167426627,0.3333333333333333,0.0,-0.077451502279881,1.0,0.0,0.0,1761056922.7066755,pid_29908,KL006,,,,,,,
1,3.0,-0.0718714262928731,0.3333333333333333,0.0,-0.2156142788786195,1.0,0.0,0.0,1761056922.7076764,pid_3108,KL006,,,,,,,
1,3.0,-0.0447159722441578,0.3333333333333333,0.0,-0.1341479167324736,1.0,0.0,0.0,1761056922.7197587,pid_10268,KL003,,,,,,,
1,4.0,-0.053149577338612,0.25,0.0,-0.2125983093544483,1.0,0.0,0.0,1761056922.7394688,pid_18304,KL006,,,,,,,
1,5.0,-0.1065314832674132,0.0,-0.2,-0.5326574163370663,0.0,-1.0,1.0,1761056922.7573948,pid_25504,KL001,,,,,,,
1,5.0,-0.133933591491054,0.0,0.0,-0.6696679574552704,0.0,0.0,0.0,1761056922.7573948,pid_25504,KL004,,,,,,,
1,6.0,-0.1448391566572086,0.0,0.0,-0.8690349399432515,0.0,0.0,0.0,1761056922.760422,pid_3108,KL002,,,,,,,
1,5.0,-0.1246441768629701,0.0,-0.2,-0.6232208843148505,0.0,-1.0,1.0,1761056922.763981,pid_17144,KL006,,,,,,,
1,7.0,-0.1679144050843534,0.0,0.0,-1.175400835590474,0.0,0.0,0.0,1761056922.7966585,pid_17144,KL002,,,,,,,
1,8.0,-0.045434592459893,0.0,0.0,-0.363476739679144,0.0,0.0,0.0,1761056922.805817,pid_27344,KL006,,,,,,,
1,6.0,-0.0822989505503612,0.0,0.0,-0.4937937033021672,0.0,0.0,0.0,1761056922.8154886,pid_26784,KL006,,,,,,,
1,8.0,-0.1433142773592625,0.0,0.0,-1.1465142188741009,0.0,0.0,0.0,1761056922.8211913,pid_18304,KL002,,,,,,,
1,10.0,-0.2302549146787187,0.0,-0.1,-2.3025491467871877,0.0,-1.0,1.0,1761056922.8242035,pid_3108,KL005,,,,,,,
1,7.0,-0.0591464918365002,0.1428571428571428,0.0,-0.4140254428555018,1.0,0.0,0.0,1761056922.8333893,pid_26784,KL002,,,,,,,
1,11.0,-0.1016575715575429,0.0,0.0,-1.1182332871329728,0.0,0.0,0.0,1761056922.8353877,pid_20936,KL002,,,,,,,
1,8.0,-0.0580424418098446,0.125,-0.125,-0.4643395344787572,1.0,-1.0,1.0,1761056922.8375726,pid_6232,KL005,,,,,,,
1,11.0,-0.1709658076305346,0.0,0.0,-1.8806238839358809,0.0,0.0,0.0,1761056922.8416288,pid_17000,KL005,,,,,,,
1,12.0,-0.2168919746515189,0.0,0.0,-2.6027036958182275,0.0,0.0,0.0,1761056922.858548,pid_6116,KL005,,,,,,,
1,9.0,-0.1087332480796276,0.0,0.0,-0.9785992327166492,0.0,0.0,0.0,1761056922.8599565,pid_6232,KL002,,,,,,,
1,13.0,-0.210016848472434,0.0,0.0,-2.730219030141642,0.0,0.0,0.0,1761056922.8619688,pid_10268,KL002,,,,,,,
1,10.0,-0.1539194215636267,0.0,-0.1,-1.539194215636267,0.0,-1.0,1.0,1761056922.8659685,pid_31928,KL001,,,,,,,
1,8.0,-0.1618609915681094,0.0,0.0,-1.2948879325448752,0.0,0.0,0.0,1761056922.8679702,pid_23928,KL004,,,,,,,
1,11.0,-0.0881682767444211,0.0,0.0,-0.9698510441886328,0.0,0.0,0.0,1761056922.8689692,pid_25504,KL003,,,,,,,
1,14.0,-0.0613771333060945,0.0,0.0,-0.8592798662853235,0.0,0.0,0.0,1761056922.8744793,pid_10268,KL005,,,,,,,
1,11.0,-0.0973333854329289,0.0,0.0,-1.0706672397622188,0.0,0.0,0.0,1761056922.876494,pid_36364,KL001,,,,,,,
1,10.0,-0.1649262555752285,0.0,-0.1,-1.6492625557522849,0.0,-1.0,1.0,1761056922.8789146,pid_6232,KL006,,,,,,,
1,11.0,-0.1245047003124768,0.0,0.0,-1.369551703437245,0.0,0.0,0.0,1761056922.8829129,pid_29208,KL002,,,,,,,
1,14.0,-0.0839573274494014,0.0714285714285714,0.0,-1.1754025842916196,1.0,0.0,0.0,1761056922.8909106,pid_27344,KL005,,,,,,,
1,12.0,-0.1561555705173426,0.0,0.0,-1.8738668462081112,0.0,0.0,0.0,1761056922.8909106,pid_36364,KL006,,,,,,,
1,15.0,-0.1500915434472918,0.0,0.0,-2.251373151709378,0.0,0.0,0.0,1761056922.9004323,pid_17000,KL006,,,,,,,
1,14.0,-0.222832383494582,0.0,0.0,-3.119653368924149,0.0,0.0,0.0,1761056922.9173012,pid_25504,KL006,,,,,,,
1,13.0,-0.1150510754786588,0.0,0.0,-1.4956639812225645,0.0,0.0,0.0,1761056922.9382813,pid_27320,KL004,,,,,,,
1,19.0,-0.1940187357876508,0.0,0.0,-3.686355979965366,0.0,0.0,0.0,1761056922.9410028,pid_3108,KL003,,,,,,,
1,15.0,-0.110339949495728,0.0,0.0,-1.6550992424359208,0.0,0.0,0.0,1761056922.9426749,pid_29208,KL006,,,,,,,
