iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-1963.549,277.83,252.93,0.875
1000,-741.326,272.23,86.77,0.8767
1500,-1482.751,252.0,147.67,0.9567
2000,-1656.908,147.13,180.83,1.0
2500,-1133.889,131.3,120.07,0.9983
3000,-1706.173,294.63,164.8,0.8867
3500,-1780.506,300.0,159.23,0.4517
4000,-2052.631,300.0,185.3,0.2383
4500,-2178.156,300.0,191.2,0.205
5000,-2048.441,300.0,190.9,0.2033
