episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,79,-0.02808972227874847,0.0014345085936346262,0.0,-0.7876808679661284,-2.219088060021129,0.11332617889713548,0.0,-62.22678856932414,0,False,True,1761565138.118556
2,280,-0.033212967482756026,-0.000984217220505707,0.0,-0.03771859950826646,-9.299630895171687,-0.2755808217415979,0.0,-10.561207862314609,0,False,True,1761565140.3462715
3,21,-0.013609867944786302,0.007822918673305937,0.0,0.0,-0.28580722684051235,0.16428129213942466,0.0,0.0,0,False,True,1761565140.5976052
4,7,-0.005704147261492156,0.22498507483379987,0.0,-0.14199674084291286,-0.03992903083044509,1.5748955238365991,0.0,-0.99397718590039,0,True,False,1761565141.1089103
5,20,-0.012599457226433922,0.0071659012278251595,0.0,0.0,-0.25198914452867843,0.1433180245565032,0.0,0.0,0,False,True,1761565142.997152
6,98,-0.030055844185619726,0.0008231794163986779,0.0,-0.20603624539099868,-2.9454727301907333,0.08067158280707043,0.0,-20.19155204831787,0,False,True,1761565202.2998326
7,326,-0.03860583339292589,-0.002500863282256615,-0.03680981595092025,-0.08531883800656331,-12.585501686093842,-0.8152814300156566,-12.0,-27.81394119013964,2,False,True,1761565205.1038013
8,135,-0.017038845515129637,0.004787918406336779,0.0,-0.11152385776253747,-2.3002441445425013,0.6463689848554651,0.0,-15.055720797942557,0,False,True,1761565206.3439937
9,21,-0.01180333783918229,0.07963006839281557,-0.2857142857142857,-0.6798847534913554,-0.2478700946228281,1.672231436249127,-6.0,-14.277579823318462,1,True,False,1761565259.6250236
10,90,-0.025450070940804363,0.002476137963632438,0.0,-0.12621774054624438,-2.2905063846723928,0.2228524167269194,0.0,-11.359596649161995,0,False,True,1761565261.0500116
11,206,-0.02322403090148596,0.0026744778199557515,-0.02912621359223301,-0.07797845371182745,-4.7841503657061075,0.5509424309108848,-6.0,-16.063561464636454,1,False,True,1761565264.1693323
12,59,-0.018504508065686077,0.005090128061636803,0.0,0.0,-1.0917659758754785,0.30031755563657136,0.0,0.0,0,False,True,1761565319.5692515
13,93,-0.01880732913211054,0.005211438740375213,0.0,0.0,-1.74908160928628,0.48466380285489485,0.0,0.0,0,False,True,1761565321.1898556
14,108,-0.03385534550459507,-0.0008166013656162894,0.0,0.0,-3.6563773144962677,-0.08819294748655926,0.0,0.0,0,False,True,1761565323.5635562
15,400,-0.032923205563847924,-0.00032171817814966643,-0.015,-0.027638555429553065,-13.16928222553917,-0.12868727125986656,-6.0,-11.055422171821226,1,False,True,1761565382.27672
16,53,-0.013787878266105572,0.006726547276917032,-0.11320754716981132,-0.27637361548974415,-0.7307575481035953,0.3565070056766027,-6.0,-14.64780162095644,1,False,True,1761565382.8318055
17,251,-0.03186614889372841,-0.0003673420554196983,0.0,0.0,-7.99840337232583,-0.09220285591034427,0.0,0.0,0,False,True,1761565385.2434733
18,75,-0.025751633251957604,0.0023893726763931436,0.0,0.0,-1.9313724938968202,0.17920295072948578,0.0,0.0,0,False,True,1761565386.0265584
19,133,-0.0246841420961277,0.002374346159845716,-0.045112781954887216,-0.09272209793410569,-3.282990898784984,0.31578803925948024,-6.0,-12.332039025236057,1,False,True,1761565454.7473752
20,32,-0.009386302514487433,0.008775984137738094,-0.1875,-0.33305753932352444,-0.30036168046359785,0.280831492407619,-6.0,-10.657841258352782,1,False,True,1761565455.0749118
21,138,-0.018424740133795026,0.0046424068185179305,-0.043478260869565216,-0.09204280483989012,-2.5426141384637138,0.6406521409554744,-6.0,-12.701907067904838,1,False,True,1761565458.582902
22,102,-0.020569484884960073,0.004143927080727324,0.0,0.0,-2.0980874582659275,0.42268056223418704,0.0,0.0,0,False,True,1761565459.4701777
23,11,-0.00843327093021025,0.14603484282426224,0.0,0.0,-0.09276598023231276,1.6063832710668846,0.0,0.0,0,True,False,1761565517.5710983
24,198,-0.02255906460102959,0.003237351202018826,0.0,-0.14616378626531162,-4.466694791003859,0.6409955379997275,0.0,-28.9404296805317,0,False,True,1761565520.7947443
25,64,-0.0135243968696872,0.007082373217225107,0.0,0.0,-0.8655613996599808,0.45327188590240686,0.0,0.0,0,False,True,1761565521.431122
26,230,-0.024231794167933557,0.009150422221299366,-0.02608695652173913,-0.04433356490949312,-5.573312658624718,2.104597110898854,-6.0,-10.196719929183418,1,True,False,1761565579.3626945
27,188,-0.023011841759170756,0.002916455302756035,0.0,-0.20841181614396673,-4.326226250724102,0.5482935969181346,0.0,-39.181421435065744,0,False,True,1761565580.9387548
28,126,-0.022888041569891767,0.003419907811002696,-0.047619047619047616,-0.3249601334492071,-2.8838932378063626,0.43090838418633964,-6.0,-40.944976814600096,1,False,True,1761565583.1692405
29,55,-0.015862097770214217,0.03289425466302527,0.0,-0.6987515417879258,-0.872415377361782,1.80918400646639,0.0,-38.43133479833592,0,True,False,1761565583.9067118
