episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,6,-0.0037520547502105477,0.002914400441467883,-2.5,0.0,0.0,-0.005,0.41474600777325055,-0.022512328501263286,0.017486402648807298,-15.0,0.0,0.0,-0.030000000000000002,2.4884760466395033,1,False,True,False,1764700459.233611
2,9,-0.002269073263505653,0.0047564138985558314,-1.6666666666666667,0.0,0.0,-0.005,0.22465344042107274,-0.02042165937155088,0.04280772508700248,-15.0,0.0,0.0,-0.045,2.0218809637896547,1,False,True,False,1764700469.1758673
3,20,-0.006176183378912401,-0.008076599447666227,0.0,0.0,-0.1,-0.005000000000000001,0.010112226513337323,-0.12352366757824801,-0.16153198895332455,0.0,0.0,-2.0,-0.10000000000000002,0.20224453026674644,0,False,False,True,1764700498.5709627
4,249,-0.005603750221155266,-0.004542681401014316,-0.5421686746987951,0.0,-0.008032128514056224,-0.004999999999999982,0.1141388911757811,-1.3953338050676614,-1.1311276688525647,-135.0,0.0,-2.0,-1.2449999999999954,28.420583902769494,9,False,False,True,1764700567.0972452
5,7,-0.0010832657858238302,0.00987726049849158,-2.142857142857143,0.0,0.0,-0.005,0.2692730555570318,-0.007582860500766811,0.06914082348944106,-15.0,0.0,0.0,-0.035,1.8849113888992226,1,False,True,False,1764700579.9284933
6,2,-0.0008458383052233835,0.010177127639718564,-7.5,0.0,0.0,-0.005,0.8087810924704553,-0.001691676610446767,0.020354255279437128,-15.0,0.0,0.0,-0.01,1.6175621849409105,1,False,True,False,1764700607.660585
7,67,-0.0036666953385603037,0.0028075015287771904,0.0,0.0,0.0,-0.005000000000000003,0.037672591534800265,-0.24566858768354036,0.18810260242807175,0.0,0.0,0.0,-0.3350000000000002,2.5240636328316177,0,False,True,False,1764700670.5642023
8,10,-0.0038950991483076612,0.0024993391905821618,-1.5,0.0,0.0,-0.004999999999999999,0.15926180676462262,-0.03895099148307661,0.024993391905821616,-15.0,0.0,0.0,-0.049999999999999996,1.5926180676462263,1,False,True,False,1764700717.0447102
9,53,-0.003019092290104437,0.007766123098345039,0.0,0.0,-0.03773584905660377,-0.005000000000000003,0.17002310041832064,-0.16001189137553518,0.4116045242122871,0.0,0.0,-2.0,-0.2650000000000001,9.011224322170994,0,False,False,True,1764700741.7693899
10,60,-0.0029660835912644723,0.007906973072784833,0.0,0.0,-0.03333333333333333,-0.005000000000000003,0.13591335915592373,-0.17796501547586835,0.47441838436709,0.0,0.0,-2.0,-0.30000000000000016,8.154801549355424,0,False,False,True,1764700758.891926
