iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-55.528,129.63,0.87,0.0333
100,-40.419,170.57,0.87,0.0889
150,-40.624,126.27,0.73,0.0389
200,-72.116,155.73,0.97,0.0222
250,-64.537,123.8,1.1,0.0167
300,-60.773,129.9,1.0,0.0056
350,-54.701,125.53,0.7,0.0111
400,-58.626,145.73,0.93,0.0
450,-77.835,140.73,0.93,0.0
500,-71.869,201.63,0.77,0.0
550,-57.092,140.47,0.9,0.0056
600,-50.578,127.53,0.87,0.0111
650,-64.231,186.23,0.7,0.0056
700,-52.538,124.23,0.77,0.0056
750,-46.239,110.97,0.73,0.0
800,-48.962,119.07,0.73,0.0056
850,-41.975,111.13,0.63,0.0
900,-37.764,108.23,0.43,0.0
950,-44.638,119.73,0.63,0.0111
1000,-46.94,135.07,0.9,0.0056
