episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at,pid,agent
1,1,-0.2841231516777251,1.0,0.0,-0.2841231516777251,1.0,0.0,0,1761057743.0485146,pid_20856,KL004
1,1,-0.1290623213417334,1.0,0.0,-0.1290623213417334,1.0,0.0,0,1761057743.0495155,pid_19792,KL001
1,1,-0.2400141293295188,1.0,0.0,-0.2400141293295188,1.0,0.0,0,1761057743.0600274,pid_23392,KL001
1,3,-0.1569588277492383,0.0,0.0,-0.4708764832477149,0.0,0.0,0,1761057743.0794015,pid_24100,KL005
1,4,-0.0630843501815226,0.25,0.0,-0.2523374007260905,1.0,0.0,0,1761057743.0939145,pid_24100,KL001
1,4,-0.0558740132403084,0.25,0.0,-0.2234960529612337,1.0,0.0,0,1761057743.094915,pid_25636,KL003
1,5,-0.1433198623574099,0.0,0.0,-0.7165993117870499,0.0,0.0,0,1761057743.1081035,pid_19792,KL004
1,6,-0.2127395022054404,0.0,0.0,-1.2764370132326428,0.0,0.0,0,1761057743.133634,pid_25636,KL004
1,5,-0.0391764847783899,0.0,0.0,-0.1958824238919497,0.0,0.0,0,1761057743.1437988,pid_10428,KL001
1,6,-0.0849048454018467,0.0,0.0,-0.5094290724110806,0.0,0.0,0,1761057743.151806,pid_20224,KL005
1,7,-0.1109010409452118,0.0,0.0,-0.7763072866164829,0.0,0.0,0,1761057743.152805,pid_25636,KL001
1,7,-0.1584975294160489,0.0,-0.2857142857142857,-1.1094827059123429,0.0,-2.0,2,1761057743.1558073,pid_20112,KL001
1,6,-0.0974018275999246,0.0,0.0,-0.584410965599548,0.0,0.0,0,1761057743.1618078,pid_30812,KL001
1,6,-0.0413782788863629,0.0,0.0,-0.2482696733181775,0.0,0.0,0,1761057743.1648057,pid_13548,KL003
1,7,-0.043206976900268,0.1428571428571428,0.0,-0.3024488383018765,1.0,0.0,0,1761057743.1848156,pid_13548,KL004
1,8,-0.0891909979259473,0.0,0.0,-0.713527983407579,0.0,0.0,0,1761057743.1908138,pid_38352,KL001
1,8,-0.1011211211185257,0.0,0.0,-0.8089689689482056,0.0,0.0,0,1761057743.2018776,pid_30812,KL005
1,10,-0.111318428031064,0.0,-0.2,-1.1131842803106404,0.0,-2.0,2,1761057743.202663,pid_20112,KL003
1,8,-0.1599775501556034,0.0,0.0,-1.279820401244827,0.0,0.0,0,1761057743.2046697,pid_13548,KL006
1,10,-0.1110160169549814,0.0,0.0,-1.110160169549815,0.0,0.0,0,1761057743.2074275,pid_24100,KL002
1,10,-0.1864670611076802,0.0,-0.1,-1.8646706110768023,0.0,-1.0,1,1761057743.2124276,pid_20224,KL002
1,8,-0.2049471338657147,0.0,0.0,-1.6395770709257176,0.0,0.0,0,1761057743.2204294,pid_8580,KL002
1,11,-0.081672175442918,0.0,0.0,-0.8983939298720982,0.0,0.0,0,1761057743.2204294,pid_6156,KL006
1,12,-0.1124251890285804,0.0,0.0,-1.3491022683429652,0.0,0.0,0,1761057743.2284334,pid_11724,KL001
1,10,-0.0646675850581781,0.0,0.0,-0.6466758505817813,0.0,0.0,0,1761057743.2334354,pid_10428,KL002
1,13,-0.0806003532913452,0.0,0.0,-1.0478045927874875,0.0,0.0,0,1761057743.2498257,pid_25636,KL002
1,10,-0.2269404381483511,0.0,0.0,-2.269404381483512,0.0,0.0,0,1761057743.2528262,pid_8580,KL005
1,11,-0.1090255337671252,0.0,0.0,-1.1992808714383778,0.0,0.0,0,1761057743.2588348,pid_6332,KL004
1,14,-0.2331020667290709,0.0,0.0,-3.263428934206993,0.0,0.0,0,1761057743.2688358,pid_20856,KL001
1,15,-0.1236595102458642,0.0,-0.3333333333333333,-1.854892653687963,0.0,-5.0,5,1761057743.2708352,pid_13348,KL006
1,13,-0.170168980257135,0.0,0.0,-2.212196743342755,0.0,0.0,0,1761057743.2708352,pid_19688,KL006
1,15,-0.1829039858412564,0.0,0.0,-2.7435597876188464,0.0,0.0,0,1761057743.2743552,pid_11724,KL006
1,14,-0.0738068324090355,0.0,0.0,-1.0332956537264977,0.0,0.0,0,1761057743.2753506,pid_24100,KL003
1,12,-0.0915147850205723,0.0,-0.1666666666666666,-1.0981774202468682,0.0,-2.0,2,1761057743.2763507,pid_30812,KL002
1,17,-0.1332646976177014,0.0,0.0,-2.265499859500924,0.0,0.0,0,1761057743.280356,pid_19792,KL005
1,15,-0.0937620923405744,0.0,0.0,-1.406431385108617,0.0,0.0,0,1761057743.281356,pid_6156,KL001
1,13,-0.1213331321395028,0.0,0.0,-1.5773307178135365,0.0,0.0,0,1761057743.2913566,pid_38352,KL003
1,17,-0.111028986876873,0.0,0.0,-1.8874927769068413,0.0,0.0,0,1761057743.2988725,pid_20112,KL004
1,14,-0.1655017826695905,0.0,0.0,-2.317024957374268,0.0,0.0,0,1761057743.3058825,pid_10428,KL006
1,15,-0.1899045070793913,0.0,-0.0666666666666666,-2.8485676061908705,0.0,-1.0,1,1761057743.311894,pid_23392,KL002
1,17,-0.1349494533138324,0.0,0.0,-2.294140706335151,0.0,0.0,0,1761057743.322413,pid_20224,KL004
1,17,-0.1991505211479926,0.0,0.0,-3.385558859515874,0.0,0.0,0,1761057743.322413,pid_24100,KL004
1,17,-0.0963345975452208,0.0,-0.0588235294117647,-1.6376881582687544,0.0,-1.0,1,1761057743.322413,pid_20224,KL006
1,14,-0.1994235248518343,0.0,0.0,-2.7919293479256804,0.0,0.0,0,1761057743.3234208,pid_6332,KL005
1,16,-0.216184285757745,0.0,-0.25,-3.458948572123921,0.0,-4.0,4,1761057743.3274188,pid_23392,KL003
1,18,-0.0871105436368298,0.0,0.0,-1.5679897854629374,0.0,0.0,0,1761057743.3304195,pid_25220,KL005
1,16,-0.2514259393703661,0.0,-0.0625,-4.022815029925859,0.0,-1.0,1,1761057743.3344212,pid_13548,KL001
1,17,-0.2306657511635485,0.0,-0.4117647058823529,-3.921317769780325,0.0,-7.0,7,1761057743.3404248,pid_23392,KL006
1,19,-0.1185254670452258,0.0,0.0,-2.2519838738592908,0.0,0.0,0,1761057743.3425612,pid_25636,KL006
1,20,-0.1706784204824115,0.0,0.0,-3.4135684096482315,0.0,0.0,0,1761057743.3435695,pid_13348,KL002
1,20,-0.2322895661562616,0.0,0.0,-4.645791323125232,0.0,0.0,0,1761057743.3465698,pid_11724,KL005
1,19,-0.1786775773429833,0.0,0.0,-3.394873969516683,0.0,0.0,0,1761057743.348569,pid_20856,KL006
1,18,-0.1195799342695695,0.0,-0.2222222222222222,-2.152438816852252,0.0,-4.0,4,1761057743.3554077,pid_19688,KL004
1,20,-0.1911458221230339,0.0,0.0,-3.822916442460678,0.0,0.0,0,1761057743.3609853,pid_25220,KL001
1,20,-0.2104404757403394,0.0,-0.2,-4.208809514806789,0.0,-4.0,4,1761057743.3609853,pid_25220,KL004
1,21,-0.1093282726158327,0.0,0.0,-2.295893724932488,0.0,0.0,0,1761057743.367984,pid_6156,KL002
1,21,-0.1217767983067789,0.0,-0.0952380952380952,-2.5573127644423588,0.0,-2.0,2,1761057743.367984,pid_6156,KL004
1,21,-0.1295817750289389,0.0,0.0,-2.721217275607718,0.0,0.0,0,1761057743.367984,pid_6156,KL005
1,18,-0.1291801061481152,0.0,0.0,-2.325241910666074,0.0,0.0,0,1761057743.3809988,pid_30812,KL003
1,18,-0.1494964971449774,0.0,0.0,-2.690936948609594,0.0,0.0,0,1761057743.3809988,pid_30812,KL006
1,20,-0.0992389037851323,0.0,-0.05,-1.9847780757026467,0.0,-1.0,1,1761057743.382993,pid_23392,KL005
1,18,-0.1557395699380414,0.0,0.0,-2.803312258884745,0.0,0.0,0,1761057743.383994,pid_8580,KL003
1,21,-0.1901539970943431,0.0,0.0,-3.9932339389812057,0.0,0.0,0,1761057743.3869965,pid_20224,KL001
1,20,-0.2143254526345639,0.0,-0.2,-4.28650905269128,0.0,-4.0,4,1761057743.3869965,pid_19688,KL003
1,18,-0.1059357977721187,0.0,0.0,-1.9068443598981373,0.0,0.0,0,1761057743.3899963,pid_24476,KL002
1,23,-0.0856785160817203,0.0,0.0,-1.970605869879567,0.0,0.0,0,1761057743.3899963,pid_13348,KL003
1,18,-0.1285801057392504,0.0,0.0,-2.314441903306508,0.0,0.0,0,1761057743.400519,pid_6332,KL002
1,19,-0.1189121188404407,0.0,0.0,-2.259330257968375,0.0,0.0,0,1761057743.400519,pid_38352,KL006
1,20,-0.0731558680996682,0.0,-0.1,-1.463117361993365,0.0,-2.0,2,1761057743.408656,pid_30812,KL004
1,27,-0.1428585417073594,0.0,0.0,-3.857180626098705,0.0,0.0,0,1761057743.4126582,pid_19792,KL003
1,22,-0.1419710108872208,0.0,0.0,-3.1233622395188587,0.0,0.0,0,1761057743.4146616,pid_19688,KL001
1,25,-0.1865048043337691,0.0,0.0,-4.662620108344229,0.0,0.0,0,1761057743.4176588,pid_13348,KL001
1,19,-0.1256057252832405,0.0,0.0,-2.386508780381571,0.0,0.0,0,1761057743.4191458,pid_6332,KL003
1,28,-0.1641472517999818,0.0,0.0,-4.596123050399493,0.0,0.0,0,1761057743.4252217,pid_19792,KL002
1,26,-0.1792026406966082,0.0,0.0,-4.659268658111814,0.0,0.0,0,1761057743.4302208,pid_13348,KL005
1,27,-0.207841413811951,0.0,0.0,-5.611718172922679,0.0,0.0,0,1761057743.4407375,pid_11724,KL004
1,23,-0.1939705108411048,0.0,0.0,-4.4613217493454105,0.0,0.0,0,1761057743.4457502,pid_13548,KL002
1,24,-0.1126669382817449,0.0,0.0,-2.704006518761878,0.0,0.0,0,1761057743.4457502,pid_10428,KL003
1,21,-0.1866913033460202,0.0,0.0,-3.9205173702664258,0.0,0.0,0,1761057743.4487588,pid_6332,KL006
1,27,-0.2483548933720787,0.0,0.0,-6.705582121046127,0.0,0.0,0,1761057743.453342,pid_25220,KL006
1,27,-0.1861026392473013,0.0,0.0,-5.024771259677137,0.0,0.0,0,1761057743.4862714,pid_19688,KL005
1,25,-0.1458419096741493,0.0,0.0,-3.6460477418537343,0.0,0.0,0,1761057743.4872816,pid_8580,KL006
1,29,-0.2051332160122614,0.0,0.0,-5.94886326435558,0.0,0.0,0,1761057743.4927895,pid_20856,KL003
1,29,-0.1949070702709136,0.0,0.0,-5.652305037856497,0.0,0.0,0,1761057743.4995358,pid_24100,KL006
1,33,-0.2406670962846872,0.0,-0.1212121212121212,-7.942014177394679,0.0,-4.0,4,1761057743.5015385,pid_20112,KL002
2,3,-0.1579677676086538,0.0,0.0,-0.4739033028259614,0.0,0.0,0,1761057743.5015385,pid_30812,KL002
1,33,-0.0972517652745942,0.0,0.0,-3.209308254061609,0.0,0.0,0,1761057743.5015385,pid_20112,KL005
1,30,-0.1427095419420328,0.0,0.0,-4.281286258260986,0.0,0.0,0,1761057743.5090518,pid_20856,KL005
1,24,-0.0888035566817061,0.0,-0.0416666666666666,-2.131285360360947,0.0,-1.0,1,1761057743.5120533,pid_24476,KL005
1,29,-0.1855661434274547,0.0,-0.0344827586206896,-5.381418159396187,0.0,-1.0,1,1761057743.513056,pid_10428,KL004
1,33,-0.1867994271161038,0.0,0.0,-6.164381094831428,0.0,0.0,0,1761057743.5160522,pid_11724,KL002
1,25,-0.1976981073440502,0.0,0.0,-4.942452683601256,0.0,0.0,0,1761057743.5300572,pid_24476,KL001
1,35,-0.1516856797189238,0.0,-0.1142857142857142,-5.308998790162336,0.0,-4.0,4,1761057743.5300572,pid_20112,KL006
1,29,-0.1625980796920892,0.0,-0.0344827586206896,-4.715344311070589,0.0,-1.0,1,1761057743.5406854,pid_13548,KL005
1,31,-0.2301898750769737,0.0,0.0,-7.135886127386184,0.0,0.0,0,1761057743.5663755,pid_8580,KL001
1,27,-0.1374471622519943,0.0,-0.074074074074074,-3.711073380803848,0.0,-2.0,2,1761057743.5673804,pid_24476,KL006
2,7,-0.1708394902609343,0.0,0.0,-1.1958764318265405,0.0,0.0,0,1761057743.5703738,pid_30812,KL006
1,36,-0.1503677981368985,0.0,0.0,-5.4132407329283465,0.0,0.0,0,1761057743.5728805,pid_25220,KL002
1,36,-0.2200806897962478,0.0,-0.1111111111111111,-7.922904832664922,0.0,-4.0,4,1761057743.5738971,pid_25220,KL003
1,37,-0.1899246335262915,0.0,0.0,-7.027211440472788,0.0,0.0,0,1761057743.6002457,pid_25636,KL005
1,30,-0.1613406979886319,0.0,-0.0333333333333333,-4.840220939658959,0.0,-1.0,1,1761057743.6089458,pid_24476,KL004
1,38,-0.1845337507372139,0.0,-0.0526315789473684,-7.01228252801413,0.0,-2.0,2,1761057743.609945,pid_23392,KL004
2,2,-0.0633334797140569,0.0,0.0,-0.1266669594281138,0.0,0.0,0,1761057743.6169455,pid_13548,KL003
2,11,-0.2378080365582769,0.0,0.0,-2.6158884021410467,0.0,0.0,0,1761057743.6269522,pid_30812,KL003
1,38,-0.1828244614367739,0.0,0.0,-6.947329534597408,0.0,0.0,0,1761057743.627952,pid_20224,KL003
2,2,-0.016110775774367,0.5,0.0,-0.0322215515487341,1.0,0.0,0,1761057743.651688,pid_25220,KL001
2,13,-0.0536667896587149,0.0769230769230769,-0.0769230769230769,-0.6976682655632942,1.0,-1.0,1,1761057743.6616845,pid_30812,KL005
1,47,-0.2057907269887217,0.0,0.0,-9.67216416846992,0.0,0.0,0,1761057743.677686,pid_11724,KL003
1,45,-0.1776319392564311,0.0,-0.1111111111111111,-7.993437266539401,0.0,-5.0,5,1761057743.6932745,pid_13348,KL004
2,8,-0.1774028681112656,0.0,0.0,-1.4192229448901252,0.0,0.0,0,1761057743.698498,pid_20112,KL002
2,8,-0.1535994953005467,0.0,0.0,-1.2287959624043745,0.0,0.0,0,1761057743.698498,pid_20112,KL004
2,8,-0.2385374912963139,0.0,0.0,-1.9082999303705117,0.0,0.0,0,1761057743.698498,pid_20112,KL005
1,39,-0.1424090551709364,0.0,0.0,-5.55395315166652,0.0,0.0,0,1761057743.7024975,pid_38352,KL004
2,9,-0.2393627783561148,0.0,0.0,-2.154265005205034,0.0,0.0,0,1761057743.7361286,pid_13548,KL001
1,40,-0.2023578850942286,0.0,0.0,-8.094315403769146,0.0,0.0,0,1761057743.7406445,pid_24476,KL003
2,7,-0.1942438795934662,0.0,0.0,-1.3597071571542636,0.0,0.0,0,1761057743.7416434,pid_25636,KL002
2,7,-0.0526876232264157,0.0,0.0,-0.3688133625849105,0.0,0.0,0,1761057743.7481697,pid_25220,KL004
2,12,-0.142963217138628,0.0,-0.0833333333333333,-1.7155586056635366,0.0,-1.0,1,1761057743.754169,pid_20112,KL001
2,6,-0.1487139975923389,0.0,0.0,-0.8922839855540334,0.0,0.0,0,1761057743.763066,pid_23392,KL002
2,14,-0.1951571562351648,0.0,-0.1428571428571428,-2.732200187292307,0.0,-2.0,2,1761057743.7791252,pid_24100,KL005
2,9,-0.0867992045300166,0.0,0.0,-0.7811928407701502,0.0,0.0,0,1761057743.7866411,pid_25220,KL002
2,1,-0.0134253731083029,0.0,0.0,-0.0134253731083029,0.0,0.0,0,1761057743.7876406,pid_24476,KL002
2,1,-0.0528236681970417,0.0,0.0,-0.0528236681970417,0.0,0.0,0,1761057743.7876406,pid_24476,KL005
2,13,-0.1781964333848438,0.0,0.0,-2.316553634002969,0.0,0.0,0,1761057743.7926438,pid_13548,KL002
2,15,-0.1939007911979318,0.0,-0.0666666666666666,-2.9085118679689783,0.0,-1.0,1,1761057743.7941597,pid_24100,KL001
2,10,-0.066260099343216,0.0,0.0,-0.6626009934321603,0.0,0.0,0,1761057743.8046134,pid_25220,KL003
2,10,-0.1016751833568248,0.0,0.0,-1.016751833568248,0.0,0.0,0,1761057743.8046134,pid_25220,KL005
2,5,-0.2120217424686982,0.0,0.0,-1.0601087123434914,0.0,0.0,0,1761057743.8086152,pid_11724,KL004
2,12,-0.2480583666223673,0.0,0.0,-2.976700399468408,0.0,0.0,0,1761057743.8176105,pid_25636,KL006
2,10,-0.1534465931454765,0.0,0.0,-1.5344659314547653,0.0,0.0,0,1761057743.8346205,pid_23392,KL005
1,54,-0.1104466313903047,0.0185185185185185,-0.0185185185185185,-5.964118095076458,1.0,-1.0,1,1761057743.8366203,pid_10428,KL005
1,54,-0.1627290735421288,0.0,0.0,-8.78736997127496,0.0,0.0,0,1761057743.8376217,pid_19688,KL002
2,14,-0.2105340527216998,0.0,0.0,-2.947476738103797,0.0,0.0,0,1761057743.848656,pid_25636,KL001
2,14,-0.1493227301888157,0.0,0.0,-2.090518222643421,0.0,0.0,0,1761057743.848656,pid_25636,KL003
2,13,-0.1752678033137218,0.0,0.0,-2.2784814430783844,0.0,0.0,0,1761057743.8506567,pid_25220,KL006
1,55,-0.1805427333163243,0.0,0.0,-9.92985033239784,0.0,0.0,0,1761057743.854674,pid_20856,KL002
2,18,-0.2281164497132417,0.0,-0.0555555555555555,-4.106096094838351,0.0,-1.0,1,1761057743.8616707,pid_13548,KL005
2,6,-0.1053255268064034,0.0,0.0,-0.6319531608384205,0.0,0.0,0,1761057743.864674,pid_24476,KL006
2,12,-0.0743300162663736,0.0,0.0,-0.8919601951964832,0.0,0.0,0,1761057743.870683,pid_23392,KL003
2,11,-0.0620717079516171,0.0,0.0,-0.6827887874677885,0.0,0.0,0,1761057743.8746834,pid_20224,KL003
2,16,-0.0857691535953637,0.0,-0.1875,-1.3723064575258204,0.0,-3.0,3,1761057743.880186,pid_25636,KL005
2,21,-0.1011732085647298,0.0,-0.0952380952380952,-2.1246373798593265,0.0,-2.0,2,1761057743.886193,pid_24100,KL002
1,53,-0.1899699833150734,0.0,0.0,-10.068409115698891,0.0,0.0,0,1761057743.886193,pid_38352,KL005
1,66,-0.1613433980717512,0.0,0.0,-10.648664272735584,0.0,0.0,0,1761057743.886193,pid_19792,KL006
1,54,-0.186017507867723,0.0,0.0,-10.044945424857044,0.0,0.0,0,1761057743.897045,pid_38352,KL002
2,10,-0.1289265453759547,0.0,0.0,-1.2892654537595474,0.0,0.0,0,1761057743.900818,pid_11724,KL001
2,22,-0.154051059757026,0.0,-0.0454545454545454,-3.3891233146545727,0.0,-1.0,1,1761057743.9118135,pid_13548,KL004
2,25,-0.1161265600040722,0.0,0.0,-2.903164000101807,0.0,0.0,0,1761057743.913814,pid_20112,KL003
2,11,-0.1322720444928841,0.0,0.0,-1.4549924894217257,0.0,0.0,0,1761057743.919814,pid_11724,KL002
1,54,-0.1177183109063001,0.0,0.0,-6.356788788940207,0.0,0.0,0,1761057743.9288237,pid_6332,KL001
2,14,-0.0854056328263516,0.0,0.0,-1.1956788595689234,0.0,0.0,0,1761057743.9328225,pid_20224,KL005
2,16,-0.2476118519466525,0.0,0.0,-3.961789631146441,0.0,0.0,0,1761057743.9348235,pid_23392,KL001
2,24,-0.2368411548265614,0.0,0.0,-5.684187715837473,0.0,0.0,0,1761057743.9348235,pid_13548,KL006
2,25,-0.1753203167290578,0.0,-0.04,-4.383007918226445,0.0,-1.0,1,1761057743.9398236,pid_24100,KL003
2,12,-0.0850711137609954,0.0,0.0,-1.0208533651319447,0.0,0.0,0,1761057743.946589,pid_13348,KL003
2,17,-0.1719890827925047,0.0,0.0,-2.9238144074725807,0.0,0.0,0,1761057743.9475982,pid_23392,KL006
2,22,-0.228249894866594,0.0,-0.1363636363636363,-5.021497687065069,0.0,-3.0,3,1761057743.9506006,pid_25636,KL004
2,26,-0.2413002622544101,0.0,0.0,-6.2738068186146645,0.0,0.0,0,1761057743.955599,pid_24100,KL006
2,14,-0.1335086191703876,0.0,-0.1428571428571428,-1.8691206683854265,0.0,-2.0,2,1761057743.962597,pid_11724,KL003
2,16,-0.0794471592413516,0.0,-0.125,-1.271154547861626,0.0,-2.0,2,1761057743.9895964,pid_11724,KL005
3,2,-0.0195756625208831,0.5,0.0,-0.0391513250417662,1.0,0.0,0,1761057743.991598,pid_13548,KL002
2,6,-0.2171910693952048,0.0,0.0,-1.303146416371229,0.0,0.0,0,1761057743.9951136,pid_19688,KL005
2,15,-0.2267038039398158,0.0,0.0,-3.4005570590972383,0.0,0.0,0,1761057743.9961145,pid_13348,KL004
2,5,-0.048772797759649,0.2,0.0,-0.2438639887982451,1.0,0.0,0,1761057743.9961145,pid_19792,KL004
2,30,-0.1254320587403123,0.0333333333333333,0.0,-3.7629617622093687,1.0,0.0,0,1761057744.0135288,pid_24100,KL004
2,7,-0.1867401787172041,0.0,0.0,-1.3071812510204288,0.0,0.0,0,1761057744.0264904,pid_19792,KL005
3,8,-0.2060476020002564,0.0,0.0,-1.6483808160020517,0.0,0.0,0,1761057744.0344906,pid_25220,KL005
2,9,-0.1623653054609993,0.0,0.0,-1.4612877491489944,0.0,0.0,0,1761057744.045507,pid_10428,KL002
2,8,-0.0525082600945744,0.125,0.0,-0.4200660807565958,1.0,0.0,0,1761057744.0502846,pid_20856,KL002
2,8,-0.1466575324435207,0.0,0.0,-1.1732602595481656,0.0,0.0,0,1761057744.0502846,pid_20856,KL005
2,19,-0.1905011158870097,0.0,0.0,-3.6195212018531855,0.0,0.0,0,1761057744.0593145,pid_13348,KL006
2,19,-0.2284130604096085,0.0,0.0,-4.339848147782561,0.0,0.0,0,1761057744.0665946,pid_24476,KL001
2,21,-0.142954508484336,0.0,0.0,-3.002044678171057,0.0,0.0,0,1761057744.0679383,pid_20224,KL006
2,7,-0.196524436760618,0.0,0.0,-1.375671057324326,0.0,0.0,0,1761057744.0763133,pid_38352,KL001
3,11,-0.1869703032799062,0.0,0.0,-2.056673336078969,0.0,0.0,0,1761057744.0792625,pid_25220,KL001
1,72,-0.1438075844247368,0.0,0.0,-10.354146078581053,0.0,0.0,0,1761057744.0826168,pid_8580,KL004
2,22,-0.1857871032515438,0.0,0.0,-4.0873162715339655,0.0,0.0,0,1761057744.0865529,pid_20224,KL002
2,21,-0.0678057470636814,0.0,0.0,-1.4239206883373108,0.0,0.0,0,1761057744.0984364,pid_13348,KL005
2,27,-0.1348247015859255,0.0,0.0,-3.6402669428199914,0.0,0.0,0,1761057744.099445,pid_23392,KL004
2,9,-0.1988596221629011,0.0,0.0,-1.78973659946611,0.0,0.0,0,1761057744.1076093,pid_6332,KL004
3,6,-0.0826705079437186,0.0,0.0,-0.4960230476623117,0.0,0.0,0,1761057744.10961,pid_25636,KL002
3,13,-0.14139898159196,0.0769230769230769,0.0,-1.8381867606954805,1.0,0.0,0,1761057744.1104145,pid_25220,KL003
2,13,-0.1733331702532273,0.0,0.0,-2.253331213291955,0.0,0.0,0,1761057744.1144235,pid_10428,KL003
2,9,-0.0553839416849518,0.0,-0.6666666666666666,-0.498455475164567,0.0,-6.0,6,1761057744.1202545,pid_38352,KL004
2,12,-0.2281921049574188,0.0,0.0,-2.7383052594890254,0.0,0.0,0,1761057744.1222527,pid_20856,KL004
