iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-70.027,99.33,1.67,0.7444
10,-61.755,92.9,1.17,0.9722
15,-78.659,90.17,1.47,0.9944
20,-48.587,92.1,1.17,1.0
