iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-223.118,128.87,10.63,0.0111
1000,-209.015,186.4,10.77,0.0
1500,-205.37,140.4,10.03,0.0
2000,-163.49,146.87,8.87,0.0389
2500,-187.211,124.3,10.63,0.0
3000,-73.524,123.4,4.4,0.0611
3500,-28.45,123.3,1.67,0.0833
4000,6.158,116.87,0.33,0.2556
4500,5.573,119.7,1.7,0.55
5000,5.598,117.67,3.17,0.7944
5500,-14.133,115.37,6.5,0.9556
6000,8.851,105.77,3.87,0.8389
6500,32.963,105.9,1.27,0.8722
7000,6.804,103.87,3.27,0.9389
7500,-5.376,106.93,4.07,0.95
8000,9.785,101.03,3.27,0.9333
8500,15.903,100.63,3.47,0.9278
9000,-3.751,101.9,4.33,0.8889
9500,24.283,102.77,2.3,0.8778
10000,-19.668,99.7,5.23,0.9056
