iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-17.781,149.9,1.3,0.2
100,-8.613,144.87,1.7,0.3667
150,-30.217,126.33,1.03,0.0167
200,-31.162,141.53,0.97,0.0278
250,-24.782,113.73,0.63,0.0222
300,-29.333,144.87,0.3,0.0
350,-35.575,152.77,0.73,0.0056
400,-26.659,115.47,0.6,0.0056
450,-34.704,119.77,0.8,0.0111
500,-35.007,117.13,1.17,0.0056
550,-29.031,117.73,1.03,0.0111
600,-29.501,132.73,0.9,0.0111
650,-23.27,113.2,0.47,0.0056
700,-22.967,125.0,0.7,0.0111
750,-19.987,121.0,0.53,0.0
800,-29.966,132.5,0.97,0.0
850,-24.792,121.27,0.8,0.0
900,-20.252,128.63,0.83,0.0056
950,-19.378,115.53,0.87,0.0056
1000,-23.049,126.63,0.9,0.0
1050,-30.217,126.97,1.07,0.0
1100,-26.415,153.47,1.0,0.0056
1150,-26.67,124.53,0.97,0.0056
1200,-20.272,133.23,0.7,0.0
1250,-20.782,117.3,0.87,0.0
1300,-23.048,233.1,0.67,0.0167
1350,-14.322,123.3,0.5,0.0167
1400,-21.394,112.2,0.8,0.0056
1450,-23.215,119.0,1.0,0.0111
1500,-23.665,153.4,1.3,0.0056
