episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,27,-0.02703007520627263,0.0024536314493186473,-0.2222222222222222,-0.39799254374018667,-0.7298120305693611,0.06624804913160348,-6.0,-10.74579868098504,1,False,True,1761568938.0275536
2,22,-0.02563066363343911,0.002894213665299167,0.0,0.0,-0.5638745999356605,0.06367270063658168,0.0,0.0,0,False,True,1761568939.287479
3,400,-0.029098095327131496,0.000324278744865911,0.0,-0.035802574785472364,-11.639238130852599,0.12971149794636438,0.0,-14.321029914188946,0,False,True,1761568942.3639379
