episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent,total_intrusions
1,1,-0.1055176690702771,0.0,0.0,-0.1055176690702771,0.0,0.0,1761043297.081926,pid_1620,KL001,
1,2,-0.0994507529807456,0.0,0.0,-0.1989015059614912,0.0,0.0,1761043297.098999,pid_4564,KL002,
1,2,-0.0625172210952701,0.0,0.0,-0.1250344421905402,0.0,0.0,1761043297.1000006,pid_2720,KL005,
1,4,-0.0908783717685495,0.0,0.0,-0.3635134870741981,0.0,0.0,1761043297.1161132,pid_13016,KL001,
1,4,-0.1580223016939159,0.0,0.0,-0.6320892067756639,0.0,0.0,1761043297.1171143,pid_6940,KL005,
1,4,-0.154731599897342,0.0,0.0,-0.6189263995893681,0.0,0.0,1761043297.1191125,pid_6532,KL006,
1,5,-0.0627326187848904,0.0,0.0,-0.3136630939244523,0.0,0.0,1761043297.1301212,pid_24656,KL002,
1,5,-0.1749779770984123,0.0,0.0,-0.8748898854920618,0.0,0.0,1761043297.1361208,pid_556,KL003,
1,5,-0.0914513611233393,0.0,0.0,-0.4572568056166969,0.0,0.0,1761043297.15174,pid_19800,KL006,
1,7,-0.1654630453131553,0.0,-0.1428571428571428,-1.1582413171920876,0.0,-1.0,1761043297.1577406,pid_6532,KL002,
1,7,-0.1332705031367284,0.0,-0.1428571428571428,-0.9328935219570992,0.0,-1.0,1761043297.1577406,pid_6532,KL005,
1,8,-0.1788537211074989,0.0,0.0,-1.4308297688599918,0.0,0.0,1761043297.170741,pid_6532,KL001,
1,9,-0.0571800102095007,0.0,0.0,-0.5146200918855066,0.0,0.0,1761043297.2003574,pid_15904,KL005,
1,10,-0.0945259195750933,0.0,0.0,-0.9452591957509332,0.0,0.0,1761043297.2033608,pid_24656,KL005,
1,8,-0.2333996047802076,0.0,0.0,-1.8671968382416608,0.0,0.0,1761043297.2043614,pid_21496,KL002,
1,9,-0.1977199711089889,0.0,0.0,-1.7794797399809004,0.0,0.0,1761043297.2123585,pid_2720,KL004,
