episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,25,-0.004415089723477559,0.09733079967942693,0.0,0.0,-0.11037724308693897,2.4332699919856733,0.0,0.0,0,True,False,1761559898.6695728
2,109,-0.04218010637629516,-0.006930729603159267,0.0,-0.172242728892395,-4.597631595016172,-0.7554495267443602,0.0,-18.774457449271054,0,False,True,1761559900.829619
3,14,-0.005287308793130605,0.16240081133397985,0.0,-0.01889389889308429,-0.07402232310382846,2.273611358675718,0.0,-0.26451458450318005,0,True,False,1761559902.1584306
4,81,-0.032166001871520494,-6.362519582951783e-05,0.0,-0.1056330660355956,-2.60544615159316,-0.005153640862190945,0.0,-8.556278348883243,0,False,True,1761559960.610145
5,173,-0.03852861538230943,-0.004626773038893628,-0.03468208092485549,-0.433484471545114,-6.665450461139532,-0.8004317357285976,-6.0,-74.99281357730472,1,False,True,1761559964.7618816
6,93,-0.028478698798883133,0.002764610939443547,0.0,0.0,-2.6485189882961313,0.25710881736824986,0.0,0.0,0,False,True,1761560017.1124108
7,126,-0.025827912812380234,0.00479316111699989,-0.047619047619047616,-0.13147293677960825,-3.2543170143599096,0.6039383007419861,-6.0,-16.565590034230638,1,False,True,1761560019.929112
8,54,-0.0131087513165253,0.013382253025629828,-0.1111111111111111,-0.29989454570027896,-0.7078725710923662,0.7226416633840107,-6.0,-16.194305467815063,1,False,True,1761560020.769148
9,93,-0.0470672326464087,-0.009444472462949119,-0.06451612903225806,-0.23097962288396398,-4.377252636116009,-0.878335939054268,-6.0,-21.48110492820865,1,False,True,1761560071.8084545
10,14,-0.005687685555718816,0.16101330111776568,0.0,0.0,-0.07962759778006342,2.2541862156487196,0.0,0.0,0,True,False,1761560072.4030118
11,133,-0.02550398961949491,0.004893158938771934,-0.045112781954887216,-0.10236063913663888,-3.3920306193928234,0.6507901388566673,-6.0,-13.613965005172972,1,False,True,1761560075.9996502
12,83,-0.0357091612639534,-0.0026576657055089725,0.0,0.0,-2.963860384908132,-0.2205862535572447,0.0,0.0,0,False,True,1761560076.7871
13,68,-0.03850955234770681,-0.004603390265536587,0.0,-0.33055467773487657,-2.618649559644063,-0.31303053805648795,0.0,-22.477718085971606,0,False,True,1761560129.710163
14,178,-0.037382071707398934,-0.00451168166621068,0.0,0.0,-6.65400876391701,-0.8030793365855011,0.0,0.0,0,False,True,1761560133.130491
15,50,-0.043298470933229395,-0.007305343926796399,-0.12,-0.2735542045638435,-2.16492354666147,-0.36526719633981997,-6.0,-13.677710228192174,1,False,True,1761560133.819075
16,231,-0.022665344251982363,0.005725752783983922,0.0,-0.001890911174924455,-5.235694522207925,1.322648893100286,0.0,-0.4368004814075491,0,False,True,1761560199.5581894
17,74,-0.023817793268646418,0.006481157695215442,0.0,-0.11322396958921144,-1.762516701879835,0.47960566944594274,0.0,-8.378573749601646,0,False,True,1761560200.2396855
