iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-51.782,139.7,1.33,0.1111
100,-55.818,151.13,0.7,0.0
150,-53.376,158.27,1.03,0.1056
200,-42.083,132.33,0.97,0.1
250,-55.278,123.23,1.13,0.0444
300,-49.348,120.33,0.83,0.0111
350,-51.9,121.03,0.63,0.0056
400,-51.546,135.77,0.87,0.0
450,-53.738,137.63,0.57,0.0056
500,-63.077,141.73,1.03,0.0056
550,-55.247,121.33,0.73,0.0
600,-56.637,123.33,0.87,0.0
650,-57.7,127.2,0.8,0.0056
700,-70.429,134.13,1.1,0.0056
750,-53.32,120.47,0.73,0.0
800,-43.599,123.43,0.6,0.0056
850,-55.501,134.27,0.77,0.0
900,-70.923,132.03,1.17,0.0
950,-38.155,117.63,0.53,0.0167
1000,-60.055,124.6,1.07,0.0
1050,-50.002,118.2,0.5,0.0111
1100,-35.014,99.63,0.5,0.0
1150,-42.309,121.53,0.73,0.0056
1200,-51.788,126.7,0.97,0.0
1250,-52.678,132.77,0.73,0.0111
1300,-47.452,146.9,0.9,0.0
1350,-49.056,115.47,0.8,0.0111
1400,-42.032,132.83,0.7,0.0
1450,-70.378,230.5,1.43,0.0111
1500,-45.714,135.2,0.47,0.0
