episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,pid,agent
1,49,-0.2039782890148972,-0.0067751931575101,-0.0408163265306122,-9.994936161729967,-0.3319844647179951,-2.0,pid_1008,KL001
2,27,-0.1151122173146469,0.0079303767529591,0.0,-3.108029867495469,0.2141201723298981,0.0,pid_1008,KL001
3,200,-0.1679584704766417,-0.0017602853355156,-0.01,-33.59169409532836,-0.3520570671031262,-2.0,pid_1008,KL001
4,112,-0.13533081085289,0.0047350008948096,0.0,-15.15705081552368,0.5303201002186841,0.0,pid_1008,KL001
5,80,-0.1051098169352879,0.0095425190378691,-0.0125,-8.408785354823038,0.7634015230295323,-1.0,pid_1008,KL001
1,15,-0.150005679536716,0.001772199763972,0.0,-2.250085193050741,0.0265829964595801,0.0,pid_11648,KL001
2,6,-0.1204032046825936,0.0111888654487951,0.0,-0.722419228095562,0.0671331926927706,0.0,pid_11648,KL001
3,15,-0.1891165160879446,-0.0048390368450054,-0.0666666666666666,-2.83674774131917,-0.0725855526750818,-1.0,pid_11648,KL001
4,28,-0.0946558405940351,0.0112169552442854,0.0,-2.650363536632983,0.3140747468399925,0.0,pid_11648,KL001
5,39,-0.2113611923039242,-0.0093811404094802,0.0,-8.243086499853046,-0.3658644759697294,0.0,pid_11648,KL001
6,36,-0.1329056151371669,0.0047954604669894,-0.1111111111111111,-4.78460214493801,0.1726365768116197,-4.0,pid_11648,KL001
7,35,-0.1597584340361821,-0.0009472780433761,-0.0285714285714285,-5.591545191266374,-0.0331547315181638,-1.0,pid_11648,KL001
8,60,-0.1392958121942221,0.0037285788960377,-0.0333333333333333,-8.35774873165333,0.2237147337622623,-2.0,pid_11648,KL001
1,75,-0.1237837661698585,0.0065314180759367,0.0,-9.283782462739392,0.4898563556952588,0.0,pid_18076,KL001
2,3,-0.1453000858395632,0.0126213345563319,0.0,-0.4359002575186896,0.0378640036689959,0.0,pid_18076,KL001
3,6,-0.1378034472190804,0.007532197771128,0.0,-0.8268206833144829,0.0451931866267681,0.0,pid_18076,KL001
4,3,-0.123832720769979,0.0126461675845988,0.0,-0.3714981623099371,0.0379385027537964,0.0,pid_18076,KL001
5,22,-0.0791156330692028,0.0155863276916322,0.0,-1.7405439275224623,0.3428992092159096,0.0,pid_18076,KL001
6,45,-0.0925899861602872,0.0125845545145248,-0.0444444444444444,-4.166549377212927,0.5663049531536201,-2.0,pid_18076,KL001
1,45,-0.1817637956635971,-0.003842573249651,0.0,-8.179370804861874,-0.1729157962342959,0.0,pid_19340,KL001
1,13,-0.1662671102614897,-0.0009259119927709,0.0,-2.161472433399367,-0.0120368559060229,0.0,pid_23452,KL001
2,8,-0.1549625859465658,0.0035983643933515,0.0,-1.2397006875725265,0.028786915146812,0.0,pid_23452,KL001
3,131,-0.1452738277102023,0.0023477560392996,-0.0229007633587786,-19.030871430036505,0.3075560411482514,-3.0,pid_23452,KL001
1,32,-0.1899196171072867,-0.0049705476555929,-0.03125,-6.077427747433174,-0.1590575249789753,-1.0,pid_31448,KL001
2,60,-0.1518919013021335,0.0018363947402249,-0.0166666666666666,-9.113514078128016,0.1101836844134975,-1.0,pid_31448,KL001
3,4,-0.0981440826266565,0.0161568459910839,0.0,-0.3925763305066261,0.0646273839643358,0.0,pid_31448,KL001
4,5,-0.0631842073019365,0.020850432481831,0.0,-0.3159210365096828,0.1042521624091551,0.0,pid_31448,KL001
5,7,-0.1546375379561955,0.0031373644828905,0.0,-1.0824627656933683,0.0219615513802337,0.0,pid_31448,KL001
6,17,-0.0599453481449353,0.0169707127342375,0.0,-1.0190709184639009,0.2885021164820378,0.0,pid_31448,KL001
7,5,-0.1532995685420818,0.0045296592541382,0.0,-0.766497842710409,0.0226482962706911,0.0,pid_31448,KL001
8,36,-0.0761546520673666,0.0156786993860626,-0.0277777777777777,-2.7415674744251985,0.5644331778982552,-1.0,pid_31448,KL001
9,66,-0.1121376316395184,0.0082071217388692,0.0,-7.401083688208216,0.5416700347653698,0.0,pid_31448,KL001
1,24,-0.1161394306703665,0.0079112793852503,0.0,-2.7873463360887976,0.1898707052460081,0.0,pid_32180,KL001
2,23,-0.1698430280065298,-0.002090551697432,0.0,-3.9063896441501855,-0.048082689040936,0.0,pid_32180,KL001
3,53,-0.1079225753298248,0.0098173726817233,-0.0566037735849056,-5.719896492480718,0.520320752131338,-3.0,pid_32180,KL001
