episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,25,-0.017487582230257162,0.003977047039110618,0.0,-0.5136192820428767,-0.43718955575642904,0.09942617597776543,0.0,-12.840482051071916,0,False,True,1761591804.5552323
2,21,-0.011359194257736613,0.0066379512209190465,0.0,0.0,-0.23854307941246888,0.13939697563929998,0.0,0.0,0,False,True,1761591806.964823
3,146,-0.025042651589225664,0.00027815356646051945,-0.07534246575342465,-0.22716206384483065,-3.656227132026947,0.04061042070323584,-11.0,-33.165661321345276,1,False,True,1761591809.111015
4,131,-0.013678440041065582,0.019425438895028322,0.0,-0.3019029361098974,-1.7918756453795912,2.5447324952487103,0.0,-39.549284630396556,0,True,False,1761591863.315216
5,151,-0.020043001320585705,0.0016660914926518312,-0.2185430463576159,-1.649788614902635,-3.0264931994084416,0.2515798153904265,-33.0,-249.1180808502979,3,False,True,1761591865.2992115
6,139,-0.02144119884686378,0.0007122183026770192,0.0,0.0,-2.980326639714065,0.09899834407210567,0.0,0.0,0,False,True,1761591867.3822386
7,40,-0.00797650011134356,0.05784701494015156,0.0,-0.20696312441998152,-0.3190600044537424,2.3138805976060626,0.0,-8.278524976799261,0,True,False,1761591918.0204384
8,118,-0.03482756734727944,-0.005034068355122636,-0.09322033898305085,-0.4979430917330309,-4.109652946978974,-0.5940200659044711,-11.0,-58.757284824497646,1,False,True,1761591921.2600892
9,71,-0.011983011390944827,0.005656374071943164,0.0,0.0,-0.8507938087570827,0.4016025591079646,0.0,0.0,0,False,True,1761591975.5773385
10,347,-0.02847009596335865,-0.0020469055683881242,-0.03170028818443804,-0.1259260505949152,-9.879123299285451,-0.710276232230679,-11.0,-43.696339556435575,1,False,True,1761591979.4178908
11,25,-0.009117718248968048,0.08787943858731859,0.0,0.0,-0.22794295622420122,2.196985964682965,0.0,0.0,0,True,False,1761591979.7086837
12,64,-0.019248907386451106,0.0021210484078702666,-0.171875,-0.712397567226899,-1.2319300727328708,0.13574709810369706,-11.0,-45.59344430252153,1,False,True,1761592030.2593634
13,209,-0.01782076245227898,0.002620833626108358,-0.10526315789473684,-0.9925506753747473,-3.7245393525263064,0.5477542278566467,-22.0,-207.44309115332217,2,False,True,1761592033.4766698
14,31,-0.006672608542929363,0.008488532853098854,0.0,0.0,-0.20685086483081025,0.26314451844606446,0.0,0.0,0,False,True,1761592033.8208275
15,71,-0.011481439778665595,0.005676892680902896,0.0,0.0,-0.8151822242852572,0.4030593803441056,0.0,0.0,0,False,True,1761592095.3296018
