episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,14,-0.11435921842475905,0.0,0.0,-1.6010290579466266,0.0,0.0,0,1761081362.0788147
2,27,-0.22345066925880921,0.0,0.0,-6.033168069987849,0.0,0.0,0,1761081362.9720838
3,18,-0.17524487192242397,0.0,0.0,-3.1544076946036315,0.0,0.0,0,1761081363.7034905
4,22,-0.1528849986025929,0.0,0.0,-3.3634699692570433,0.0,0.0,0,1761081364.0255375
5,25,-0.11654407177412938,0.0,-0.08,-2.9136017943532346,0.0,-2.0,2,1761081364.523483
6,12,-0.042666901701813,0.08333333333333333,0.0,-0.5120028204217559,1.0,0.0,0,1761081365.147822
7,41,-0.16861064523847755,0.0,-0.0975609756097561,-6.913036454777579,0.0,-4.0,4,1761081365.7172382
8,14,-0.1468943992514371,0.0,0.0,-2.0565215895201194,0.0,0.0,0,1761081367.3054378
9,20,-0.09004826078151623,0.0,0.0,-1.8009652156303246,0.0,0.0,0,1761081394.6482985
10,42,-0.0736663942765248,0.023809523809523808,-0.09523809523809523,-3.0939885596140417,1.0,-4.0,4,1761081395.451821
11,16,-0.07411124280494474,0.0625,0.0,-1.185779884879116,1.0,0.0,0,1761081395.7184055
12,10,-0.07834614328646158,0.0,0.0,-0.7834614328646159,0.0,0.0,0,1761081396.4081159
13,27,-0.12229544161591938,0.0,-0.18518518518518517,-3.301976923629823,0.0,-5.0,5,1761081397.1488209
14,11,-0.20089741708094627,0.0,0.0,-2.209871587890409,0.0,0.0,0,1761081397.4502406
15,7,-0.051343316602217096,0.14285714285714285,0.0,-0.3594032162155197,1.0,0.0,0,1761081397.954034
16,12,-0.169378411361273,0.0,0.0,-2.032540936335276,0.0,0.0,0,1761081398.646303
17,5,-0.19333522626697644,0.0,0.0,-0.9666761313348822,0.0,0.0,0,1761081398.923702
18,8,-0.09610855905492853,0.0,0.0,-0.7688684724394282,0.0,0.0,0,1761081399.3634455
19,14,-0.0631417979763734,0.07142857142857142,-0.14285714285714285,-0.8839851716692275,1.0,-2.0,2,1761081400.284299
20,11,-0.1060940549421694,0.0,-0.18181818181818182,-1.1670346043638635,0.0,-2.0,2,1761081427.2191272
21,16,-0.1907927527900712,0.0,0.0,-3.0526840446411394,0.0,0.0,0,1761081427.735524
22,12,-0.11661895528220151,0.0,0.0,-1.399427463386418,0.0,0.0,0,1761081428.0782757
23,7,-0.02148760385979668,0.14285714285714285,0.0,-0.15041322701857676,1.0,0.0,0,1761081428.604715
24,45,-0.12183122659532092,0.022222222222222223,-0.022222222222222223,-5.482405196789442,1.0,-1.0,1,1761081429.8492053
25,7,-0.12525214950840174,0.0,-0.14285714285714285,-0.8767650465588122,0.0,-1.0,1,1761081429.9749756
26,6,-0.05087745450994696,0.0,0.0,-0.3052647270596818,0.0,0.0,0,1761081430.4260316
27,28,-0.10436082734083695,0.0,0.0,-2.9221031655434344,0.0,0.0,0,1761081431.1021922
28,18,-0.12250506418424839,0.0,0.0,-2.205091155316471,0.0,0.0,0,1761081431.434537
29,23,-0.0865387403657998,0.0,0.0,-1.9903910284133954,0.0,0.0,0,1761081432.2535932
30,13,-0.10504974598200784,0.0,0.0,-1.365646697766102,0.0,0.0,0,1761081432.5297816
31,11,-0.04883015777739579,0.09090909090909091,0.0,-0.5371317355513537,1.0,0.0,0,1761081432.9014614
32,15,-0.045041834751432384,0.06666666666666667,0.0,-0.6756275212714857,1.0,0.0,0,1761081461.2679558
33,18,-0.07545664405399204,0.0,0.0,-1.3582195929718566,0.0,0.0,0,1761081461.6366258
34,17,-0.07028578790187001,0.0,-0.058823529411764705,-1.19485839433179,0.0,-1.0,1,1761081462.0271387
35,22,-0.08028114460107472,0.045454545454545456,0.0,-1.7661851812236438,1.0,0.0,0,1761081462.455854
36,12,-0.055980808879400705,0.08333333333333333,0.0,-0.6717697065528084,1.0,0.0,0,1761081462.6942124
37,1,-0.022899572647980003,0.0,0.0,-0.022899572647980003,0.0,0.0,0,1761081463.0352304
38,42,-0.10832572906007548,0.0,-0.023809523809523808,-4.54968062052317,0.0,-1.0,1,1761081464.2874396
39,11,-0.07900048393730624,0.0,0.0,-0.8690053233103686,0.0,0.0,0,1761081464.5335913
40,15,-0.08043248417247487,0.0,0.0,-1.206487262587123,0.0,0.0,0,1761081465.0238516
41,6,-0.13839858392657492,0.0,0.0,-0.8303915035594495,0.0,0.0,0,1761081465.299553
42,32,-0.10663483960491905,0.0,-0.03125,-3.4123148673574097,0.0,-1.0,1,1761081466.1287396
43,25,-0.08792052513036573,0.0,-0.04,-2.1980131282591433,0.0,-1.0,1,1761081466.582043
