iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,-56.741,161.8,1.23,0.0944
100,-65.23,132.53,1.37,0.0333
150,-35.395,140.4,1.33,0.2167
200,-54.808,129.53,1.53,0.1333
250,-74.43,240.3,1.47,0.0444
300,-58.318,160.97,0.77,0.0222
350,-63.091,129.37,0.83,0.0056
400,-47.392,159.53,0.8,0.0111
450,-68.377,159.63,1.2,0.0
500,-73.531,144.07,1.13,0.0
550,-56.416,163.37,0.77,0.0056
600,-46.109,117.17,0.83,0.0056
650,-50.023,118.97,0.63,0.0
700,-66.731,124.57,1.43,0.0
750,-43.275,112.47,0.87,0.0
800,-47.563,120.57,0.9,0.0056
850,-47.987,148.0,0.53,0.0
900,-50.024,117.3,1.03,0.0056
950,-76.476,157.53,1.4,0.0
1000,-40.124,114.2,0.83,0.0
1050,-52.554,132.5,0.9,0.0056
1100,-76.681,200.13,1.07,0.0
1150,-51.093,129.03,1.0,0.0056
1200,-70.356,175.57,1.17,0.0
1250,-48.943,113.13,0.87,0.0056
1300,-44.096,112.53,0.97,0.0
1350,-39.235,121.6,0.87,0.0
1400,-44.323,111.2,0.77,0.0
1450,-55.128,122.07,1.43,0.0056
1500,-32.412,116.67,0.67,0.0056
