episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,13,-0.010885351986600868,0.07692307692307693,0.0,-0.14150957582581128,1.0,0.0,0,1761056486.8375447
2,18,-0.004498556852450217,0.05555555555555555,-0.05555555555555555,-0.0809740233441039,1.0,-1.0,1,1761056489.5368366
3,8,-0.003989090404982335,0.125,0.0,-0.03191272323985868,1.0,0.0,0,1761056490.7247128
4,16,-0.009125630116687688,0.0625,-0.0625,-0.146010081867003,1.0,-1.0,1,1761056493.7433882
5,10,-0.006948793451935281,0.1,-0.2,-0.06948793451935281,1.0,-2.0,2,1761056494.9223595
6,13,-0.004794342403200867,0.07692307692307693,0.0,-0.062326451241611264,1.0,0.0,0,1761056497.380299
7,9,-0.003805982232886711,0.1111111111111111,0.0,-0.0342538400959804,1.0,0.0,0,1761056498.8903534
8,14,-0.002649438821329402,0.07142857142857142,0.0,-0.03709214349861163,1.0,0.0,0,1761056501.0747473
9,9,-0.0034630063326635797,0.1111111111111111,0.0,-0.031167056993972216,1.0,0.0,0,1761056502.179635
10,18,-0.005271719123009184,0.05555555555555555,0.0,-0.0948909442141653,1.0,0.0,0,1761056505.2956502
