episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,5,-0.005817363861473952,0.2,0.0,-0.029086819307369758,1.0,0.0,0,1761056485.9744947
2,11,-0.00321075316324321,0.09090909090909091,0.0,-0.03531828479567531,1.0,0.0,0,1761056488.7764196
3,16,-0.005665069143881476,0.0625,0.0,-0.09064110630210362,1.0,0.0,0,1761056491.598456
4,10,-0.006363128940804243,0.1,-0.2,-0.06363128940804243,1.0,-2.0,2,1761056493.1042795
5,14,-0.0035287625077084243,0.07142857142857142,0.0,-0.04940267510791794,1.0,0.0,0,1761056495.347917
6,1,-0.009385651678909,1.0,0.0,-0.009385651678909,1.0,0.0,0,1761056496.0962758
7,14,-0.0072937858712560245,0.07142857142857142,-0.07142857142857142,-0.10211300219758435,1.0,-1.0,1,1761056499.4245293
8,11,-0.0026994942519915975,0.09090909090909091,0.0,-0.02969443677190757,1.0,0.0,0,1761056500.7529058
9,17,-0.005648172634237662,0.058823529411764705,-0.11764705882352941,-0.09601893478204027,1.0,-2.0,2,1761056503.038074
10,18,-0.005078760498598119,0.05555555555555555,0.0,-0.09141768897476615,1.0,0.0,0,1761056505.2956502
