iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
50,1.008,128.7,1.67,0.3
100,-21.262,140.27,1.53,0.0722
150,-3.1,137.37,1.2,0.2111
200,-26.755,195.8,1.0,0.0444
250,-31.642,167.8,0.87,0.0
300,-33.747,151.87,1.27,0.0056
350,-31.991,150.77,1.13,0.0
400,-25.699,156.63,0.8,0.0
450,-26.31,134.03,0.9,0.0
500,-16.635,119.33,0.4,0.0
550,-21.522,117.33,0.9,0.0056
600,-26.359,132.8,0.93,0.0
650,-26.416,127.93,1.2,0.0167
700,-22.628,120.4,0.73,0.0056
750,-24.074,124.63,0.97,0.0056
800,-21.184,120.6,0.73,0.0111
850,-20.853,122.87,0.57,0.0
900,-20.57,126.13,0.7,0.0
950,-20.997,170.9,1.07,0.0056
1000,-22.687,163.8,1.1,0.0
1050,-24.111,127.63,0.93,0.0
1100,-30.777,193.4,1.77,0.0
1150,-19.957,126.93,0.97,0.0111
1200,-26.579,148.7,1.43,0.0
1250,-18.44,131.97,1.0,0.0167
1300,-18.403,177.0,0.83,0.0167
1350,-18.386,121.87,1.1,0.0
1400,-14.878,111.07,0.9,0.0111
1450,-19.002,175.27,1.07,0.0
1500,-12.95,127.63,1.1,0.0
