episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,pid,agent,run_id
1,73,-0.1371892286115109,0.0041743992871049,0.0,-10.014813688640295,0.3047311479586624,0.0,pid_13260,KL001,1
1,17,-0.1640417296639463,-0.0007472122606014,0.0,-2.788709404287088,-0.0127026084302245,0.0,pid_13260,KL003,1
2,35,-0.1108499733068497,0.0086949364588644,0.0,-3.8797490657397415,0.3043227760602549,0.0,pid_13260,KL003,1
3,29,-0.1749126704273566,-0.0025873225580087,0.0,-5.072467442393343,-0.0750323541822547,0.0,pid_13260,KL003,1
4,28,-0.1165736331501505,0.0091157639120417,0.0,-3.264061728204216,0.2552413895371702,0.0,pid_13260,KL003,1
5,98,-0.1312625614227937,0.005665598650771,0.0,-12.863731019433782,0.5552286677755635,0.0,pid_13260,KL003,1
1,4,-0.0793013176423185,0.0204893797579626,0.0,-0.3172052705692743,0.0819575190318504,0.0,pid_13260,KL004,1
2,46,-0.1731965678891575,-0.0033199560198018,0.0,-7.967042122901248,-0.1527179769108838,0.0,pid_13260,KL004,1
3,15,-0.1184173584309013,0.0092007736131969,0.0,-1.77626037646352,0.138011604197954,0.0,pid_13260,KL004,1
4,50,-0.1539203704157628,0.0016107519750093,-0.02,-7.696018520788141,0.0805375987504674,-1.0,pid_13260,KL004,1
1,9,-0.131590873227661,0.0066513668620725,0.0,-1.184317859048949,0.0598623017586529,0.0,pid_13260,KL005,1
2,38,-0.1934617548829829,-0.0060953516420756,0.0,-7.3515466855533536,-0.231623362398874,0.0,pid_13260,KL005,1
3,151,-0.153993093131634,0.0006007855801796,0.0,-23.25295706287673,0.0907186226071254,0.0,pid_13260,KL005,1
1,15,-0.1493834604123659,0.0023316919492001,0.0,-2.240751906185489,0.0349753792380016,0.0,pid_13260,KL006,1
2,129,-0.1613222864735455,-0.0007396801672337,0.0,-20.81057495508738,-0.0954187415731583,0.0,pid_13260,KL006,1
1,41,-0.1939097513844507,-0.0054158836622752,0.0,-7.950299806762482,-0.2220512301532848,0.0,pid_16720,KL002,1
2,39,-0.1634538265652466,-0.0009009308822369,0.0,-6.374699236044617,-0.0351363044072429,0.0,pid_16720,KL002,1
3,20,-0.1448753680242555,0.0023629246155917,0.0,-2.897507360485112,0.0472584923118343,0.0,pid_16720,KL002,1
4,30,-0.1698099317292558,-0.0016738248458438,0.0,-5.094297951877674,-0.0502147453753146,0.0,pid_16720,KL002,1
5,15,-0.0874661649211802,0.0134463319573639,0.0,-1.3119924738177036,0.2016949793604587,0.0,pid_16720,KL002,1
6,68,-0.1388939292354651,0.0038377144086415,0.0,-9.444787188011633,0.2609645797876272,0.0,pid_16720,KL002,1
